date,temperature_max,temperature_min,temperature_mean,rainfall,wind_speed,apparent_temp,humidity,pressure,solar,year,month,day,doy,season,temp_class,rain_class,flood_risk,season_Winter,season_Summer,season_Southwest_Monsoon,season_Post-Monsoon,temperature_mean_7d_avg,temperature_mean_30d_avg,rainfall_7d_avg,rainfall_30d_avg,humidity_7d_avg,humidity_30d_avg,pm25,pm10,no2,so2,co,o3,aqi,aqi_class,aqi_7d_avg,health_risk,dengue_risk,heat_index,discomfort_index,rainfall_anomaly,uhi_score,pollution_severity,aqi_ordinal,season_code,health_risk_ordinal,flood_risk_ordinal,dengue_risk_ordinal,temp_class_ordinal,rain_class_ordinal,temperature_mean_lag1,temperature_mean_lag7,rainfall_lag1,rainfall_lag7,aqi_lag1,aqi_lag7,humidity_lag1,humidity_lag7
2005-01-11,29.2,13.3,21.3,0.0,9.7,20.3,57.68,970.0,5.935,2005,1,11,11,Winter,Normal,No Rain,Medium,1,0,0,0,20.5,20.94,0.0,0.75,62.11,64.68,47.9,88.2,32.3,9.5,1.79,29.0,50.0,Good,46.0,Moderate,Low,21.3,19.72,-0.424,0.0,0.136,0,0,1,1,0,0,0,20.5,21.7,0.0,0.0,33.0,55.0,57.77,64.34
2005-01-12,29.1,13.9,21.6,0.0,11.9,20.6,53.73,970.0,5.7706,2005,1,12,12,Winter,Normal,No Rain,Medium,1,0,0,0,20.64,20.99,0.0,0.68,61.42,63.76,40.3,69.6,33.9,8.3,1.51,21.4,42.0,Good,45.1,Moderate,Low,21.6,19.79,-0.404,0.0,0.114,0,0,1,1,0,0,0,21.3,20.6,0.0,0.0,50.0,48.0,57.68,58.56
2005-01-13,28.1,14.0,20.9,0.0,12.3,20.1,60.24,970.0,5.9112,2005,1,13,13,Winter,Normal,No Rain,Medium,1,0,0,0,20.76,20.98,0.0,0.63,60.85,63.49,56.4,94.0,35.6,6.8,1.26,33.8,56.0,Moderate,47.0,Moderate,Low,20.9,19.5,-0.387,0.0,0.158,1,0,1,1,0,0,0,21.6,20.1,0.0,0.0,42.0,43.0,53.73,64.2
2005-01-14,28.0,13.9,20.5,0.0,12.9,19.6,63.31,970.0,5.9779,2005,1,14,14,Winter,Normal,No Rain,Medium,1,0,0,0,20.8,20.95,0.0,0.59,60.43,63.48,49.2,81.2,38.1,10.6,1.48,29.4,50.0,Good,46.9,Moderate,Low,20.5,19.29,-0.372,0.0,0.138,0,0,1,1,0,0,0,20.9,20.2,0.0,0.0,56.0,51.0,60.24,66.22
2005-01-15,28.0,15.0,20.5,0.0,13.6,19.6,59.37,970.0,6.0094,2005,1,15,15,Winter,Normal,No Rain,Medium,1,0,0,0,20.84,20.92,0.0,0.55,59.5,63.21,46.5,79.3,35.8,9.7,1.25,28.6,48.0,Good,47.3,Moderate,Low,20.5,19.16,-0.359,0.0,0.131,0,0,1,1,0,0,0,20.5,20.2,0.0,0.0,50.0,45.0,63.31,65.94
2005-01-16,27.7,12.8,19.8,0.0,12.9,18.9,59.33,970.0,5.9945,2005,1,16,16,Winter,Normal,No Rain,Medium,1,0,0,0,20.73,20.85,0.0,0.51,58.78,62.96,48.2,72.9,41.6,12.8,1.36,37.8,49.0,Good,46.9,Moderate,Low,19.8,18.61,-0.347,0.0,0.136,0,0,1,1,0,0,0,20.5,20.6,0.0,0.0,48.0,52.0,59.37,64.37
2005-01-17,28.0,14.9,21.2,0.0,12.6,21.4,66.0,970.0,5.407,2005,1,17,17,Winter,Normal,No Rain,Medium,1,0,0,0,20.83,20.87,0.0,0.48,59.95,63.14,37.8,69.4,30.6,9.4,1.59,39.3,42.0,Good,48.1,Moderate,Low,21.2,19.95,-0.336,0.0,0.109,0,0,1,1,0,0,0,19.8,20.5,0.0,0.0,49.0,33.0,59.33,57.77
2005-01-18,28.4,17.1,22.3,0.0,12.3,23.1,65.58,970.0,5.2246,2005,1,18,18,Winter,Normal,No Rain,Medium,1,0,0,0,20.97,20.95,0.0,0.46,61.08,63.28,56.2,108.0,40.4,6.5,1.47,29.5,59.0,Moderate,49.4,Moderate,Low,22.3,20.82,-0.326,0.0,0.16,1,0,1,1,0,0,0,21.2,21.3,0.0,0.0,42.0,50.0,66.0,57.68
2005-01-19,28.1,17.3,22.4,0.0,15.0,22.9,67.71,970.0,4.8098,2005,1,19,19,Winter,Normal,No Rain,Medium,1,0,0,0,21.09,21.03,0.0,0.43,63.08,63.51,58.7,98.5,30.8,10.1,1.54,28.3,57.0,Moderate,51.6,Moderate,Low,22.4,21.0,-0.317,0.0,0.163,1,0,1,1,0,0,0,22.3,21.6,0.0,0.0,59.0,42.0,65.58,53.73
2005-01-20,28.3,17.2,22.1,0.0,16.0,21.7,60.12,970.0,5.8937,2005,1,20,20,Winter,Normal,No Rain,Medium,1,0,0,0,21.26,21.08,0.0,0.41,63.06,63.34,47.6,72.4,33.0,9.7,1.2,18.5,46.0,Good,50.1,Moderate,Low,22.1,20.43,-0.308,0.0,0.132,0,0,1,1,0,0,0,22.4,20.9,0.0,0.0,57.0,56.0,67.71,60.24
2005-01-21,28.5,15.7,21.5,0.0,17.3,21.0,64.15,970.0,6.0485,2005,1,21,21,Winter,Normal,No Rain,Medium,1,0,0,0,21.4,21.1,0.0,0.39,63.18,63.38,55.9,111.5,36.1,8.6,1.34,24.4,59.0,Moderate,51.4,Moderate,Low,21.5,20.12,-0.3,0.0,0.159,1,0,1,1,0,0,0,22.1,20.5,0.0,0.0,46.0,50.0,60.12,63.31
2005-01-22,27.3,17.9,22.1,0.0,15.4,22.1,67.79,970.0,5.1338,2005,1,22,22,Winter,Normal,No Rain,Medium,1,0,0,0,21.63,21.15,0.0,0.37,64.38,63.58,40.8,66.6,39.3,10.7,1.64,28.6,43.0,Good,50.7,Moderate,Low,22.1,20.75,-0.293,0.0,0.116,0,0,1,1,0,0,0,21.5,20.5,0.0,0.0,59.0,48.0,64.15,59.37
2005-01-23,26.8,18.3,22.1,0.1,14.8,22.6,65.63,970.0,5.2493,2005,1,23,23,Winter,Normal,Light,Medium,1,0,0,0,21.96,21.19,0.01,0.36,65.28,63.67,39.2,61.3,33.0,10.5,1.07,38.0,41.0,Good,49.6,Moderate,Low,22.1,20.66,-0.21,0.0,0.111,0,0,1,1,0,0,1,22.1,19.8,0.0,0.0,43.0,49.0,67.79,59.33
2005-01-24,28.9,17.2,22.9,0.0,14.2,23.1,65.73,970.0,5.4089,2005,1,24,24,Winter,Normal,No Rain,Medium,1,0,0,0,22.2,21.26,0.01,0.35,65.24,63.76,45.1,76.0,36.2,7.1,1.16,35.0,47.0,Good,50.3,Moderate,Low,22.9,21.32,-0.284,0.0,0.128,0,0,1,1,0,0,0,22.1,21.2,0.1,0.0,41.0,42.0,65.63,66.0
2005-01-25,29.1,17.1,22.6,0.0,14.8,22.7,59.68,970.0,5.9472,2005,1,25,25,Winter,Normal,No Rain,Medium,1,0,0,0,22.24,21.31,0.01,0.33,64.4,63.59,47.8,89.4,33.3,8.6,1.41,38.2,51.0,Moderate,49.1,Moderate,Low,22.6,20.8,-0.278,0.0,0.136,1,0,1,1,0,0,0,22.9,22.3,0.0,0.0,47.0,59.0,65.73,65.58
2005-01-26,28.6,17.3,22.6,0.0,13.2,23.3,59.81,970.0,5.7113,2005,1,26,26,Winter,Normal,No Rain,Medium,1,0,0,0,22.27,21.36,0.01,0.32,63.27,63.45,42.0,69.2,25.4,11.7,1.36,36.5,43.0,Good,47.1,Moderate,Low,22.6,20.81,-0.272,0.0,0.118,0,0,1,1,0,0,0,22.6,22.4,0.0,0.0,51.0,57.0,59.68,67.71
2005-01-27,27.5,17.0,22.2,0.2,12.2,22.8,64.03,970.0,5.016,2005,1,27,27,Winter,Normal,Light,Medium,1,0,0,0,22.29,21.39,0.04,0.31,63.83,63.47,48.6,86.8,34.4,7.5,1.68,33.2,51.0,Moderate,47.9,Moderate,Low,22.2,20.68,-0.1,0.0,0.138,1,0,1,1,0,0,1,22.6,22.1,0.0,0.0,43.0,46.0,59.81,60.12
2005-01-28,26.6,17.7,22.2,0.0,9.0,23.2,66.77,970.0,4.4398,2005,1,28,28,Winter,Normal,No Rain,Medium,1,0,0,0,22.39,21.42,0.04,0.3,64.21,63.59,46.9,80.2,29.6,9.2,0.89,33.8,48.0,Good,46.3,Moderate,Low,22.2,20.79,-0.269,0.0,0.132,0,0,1,1,0,0,0,22.2,21.5,0.2,0.0,51.0,59.0,64.03,64.15
2005-01-29,27.7,17.2,22.1,0.0,14.0,21.9,60.9,970.0,6.0809,2005,1,29,29,Winter,Normal,No Rain,Medium,1,0,0,0,22.39,21.44,0.04,0.29,63.22,63.49,37.8,58.9,39.7,10.0,1.47,36.1,41.0,Good,46.0,Moderate,Low,22.1,20.47,-0.264,0.0,0.108,0,0,1,1,0,0,0,22.2,22.1,0.0,0.0,48.0,43.0,66.77,67.79
2005-01-30,27.3,17.3,21.6,0.0,14.1,21.3,65.34,970.0,4.5602,2005,1,30,30,Winter,Normal,No Rain,Medium,1,0,0,0,22.31,21.45,0.03,0.28,63.18,63.56,48.4,80.6,39.7,7.2,1.83,32.4,50.0,Good,47.3,Moderate,Low,21.6,20.25,-0.259,0.0,0.137,0,0,1,1,0,0,0,22.1,22.1,0.0,0.1,41.0,41.0,60.9,65.63
2005-01-31,23.2,17.4,20.2,4.2,12.9,21.2,76.89,970.0,2.8039,2005,1,31,31,Winter,Normal,Light,Medium,1,0,0,0,21.93,21.41,0.63,0.24,64.77,63.94,50.8,94.7,31.3,9.3,1.57,35.3,53.0,Moderate,48.1,Moderate,Low,20.2,19.48,4.372,0.0,0.144,1,0,1,1,0,0,1,21.6,22.9,0.0,0.0,50.0,47.0,65.34,65.73
2005-02-01,26.2,17.8,21.1,1.4,7.8,22.9,84.53,970.0,3.7716,2005,2,1,32,Winter,Normal,Light,Medium,1,0,0,0,21.71,21.4,0.83,0.2,68.32,64.39,46.0,83.1,30.6,9.2,1.11,35.6,48.0,Good,47.7,Moderate,Low,21.1,20.54,1.507,0.0,0.13,0,0,1,1,0,0,1,20.2,22.6,4.2,0.0,53.0,51.0,76.89,59.68
2005-02-02,26.2,18.4,21.6,1.5,11.9,22.8,70.37,970.0,5.22,2005,2,2,33,Winter,Normal,Light,Medium,1,0,0,0,21.57,21.38,1.04,0.25,69.83,64.2,52.9,82.5,32.1,8.9,2.1,35.2,52.0,Moderate,49.0,Moderate,Low,21.6,20.44,1.506,0.0,0.147,1,0,1,1,0,0,1,21.1,22.6,1.4,0.0,48.0,43.0,84.53,59.81
2005-02-03,26.7,18.5,21.9,0.0,15.5,22.6,68.34,970.0,4.573,2005,2,3,34,Winter,Normal,No Rain,Medium,1,0,0,0,21.53,21.38,1.01,0.25,70.45,64.34,36.3,57.4,36.7,6.4,1.35,31.3,39.0,Good,47.3,Moderate,Low,21.9,20.61,-0.296,0.0,0.104,0,0,1,1,0,0,0,21.6,22.2,1.5,0.2,52.0,51.0,70.37,64.03
2005-02-04,26.5,18.1,21.9,0.0,15.9,22.6,72.26,970.0,4.2233,2005,2,4,35,Winter,Normal,No Rain,Medium,1,0,0,0,21.49,21.43,1.01,0.25,71.23,64.79,48.1,87.5,36.7,9.5,0.88,40.9,52.0,Moderate,47.9,Moderate,Low,21.9,20.77,-0.296,0.0,0.138,1,0,1,1,0,0,0,21.9,22.2,0.0,0.0,39.0,48.0,68.34,66.77
2005-02-05,28.3,17.9,22.6,0.0,17.1,23.1,64.48,970.0,5.0386,2005,2,5,36,Winter,Normal,No Rain,Medium,1,0,0,0,21.56,21.51,1.01,0.25,71.74,64.8,36.6,69.8,48.2,8.3,1.69,41.0,44.0,Good,48.3,Moderate,Low,22.6,21.02,-0.296,0.0,0.108,0,0,1,1,0,0,0,21.9,22.1,0.0,0.0,52.0,41.0,72.26,60.9
2005-02-06,29.1,16.3,22.5,0.0,17.0,22.6,57.0,970.0,5.3743,2005,2,6,37,Winter,Normal,No Rain,Medium,1,0,0,0,21.69,21.59,1.01,0.25,70.55,64.49,37.0,62.0,33.4,11.6,1.29,28.2,39.0,Good,46.7,Moderate,Low,22.5,20.61,-0.296,0.0,0.105,0,0,1,1,0,0,0,22.6,21.6,0.0,0.0,44.0,50.0,64.48,65.34
2005-02-07,29.7,15.9,22.2,0.0,15.6,20.0,46.83,970.0,6.8016,2005,2,7,38,Winter,Normal,No Rain,Low,1,0,0,0,21.97,21.65,0.41,0.25,66.26,63.86,40.4,72.6,35.0,10.3,1.96,24.6,43.0,Good,45.3,Moderate,Low,22.2,19.95,-0.296,0.0,0.115,0,0,1,0,0,0,0,22.5,20.2,0.0,4.2,39.0,53.0,57.0,76.89
2005-02-08,29.1,13.6,20.8,0.0,15.5,19.4,55.1,970.0,6.9206,2005,2,8,39,Winter,Normal,No Rain,Medium,1,0,0,0,21.93,21.66,0.21,0.25,62.05,63.55,38.2,60.6,42.3,7.9,1.67,32.6,41.0,Good,44.3,Moderate,Low,20.8,19.24,-0.296,0.0,0.109,0,0,1,1,0,0,0,22.2,21.1,0.0,1.4,43.0,48.0,46.83,84.53
2005-02-09,29.5,13.7,21.0,0.0,20.7,19.3,53.48,970.0,6.8388,2005,2,9,40,Winter,Normal,No Rain,Medium,1,0,0,0,21.84,21.68,0.0,0.25,59.64,63.41,41.0,67.8,35.7,8.7,2.02,31.0,43.0,Good,43.0,Moderate,Low,21.0,19.34,-0.296,0.0,0.116,0,0,1,1,0,0,0,20.8,21.6,0.0,1.5,41.0,52.0,55.1,70.37
2005-02-10,29.9,14.9,21.8,0.0,21.3,19.5,46.55,970.0,6.8878,2005,2,10,41,Winter,Normal,No Rain,Low,1,0,0,0,21.83,21.69,0.0,0.25,56.53,63.04,43.3,65.4,30.2,9.8,1.23,26.9,42.0,Good,43.4,Moderate,Low,21.8,19.65,-0.296,0.0,0.12,0,0,1,0,0,0,0,21.0,21.9,0.0,0.0,43.0,39.0,53.48,68.34
2005-02-11,30.1,12.9,21.7,0.0,18.2,19.7,46.63,970.0,6.8174,2005,2,11,42,Winter,Normal,No Rain,Low,1,0,0,0,21.8,21.7,0.0,0.25,52.87,62.8,50.7,95.5,36.0,8.7,1.81,33.4,54.0,Moderate,43.7,Moderate,Low,21.7,19.59,-0.296,0.0,0.145,1,0,1,0,0,0,0,21.8,21.9,0.0,0.0,42.0,52.0,46.55,72.26
2005-02-12,30.6,14.2,22.1,0.0,20.9,19.3,41.91,970.0,7.0308,2005,2,12,43,Winter,Normal,No Rain,Low,1,0,0,0,21.73,21.74,0.0,0.25,49.64,62.19,42.6,72.4,37.4,6.5,1.29,42.5,46.0,Good,44.0,Moderate,Low,22.1,19.67,-0.296,0.0,0.122,0,0,1,0,0,0,0,21.7,22.6,0.0,0.0,54.0,44.0,46.63,64.48
2005-02-13,31.1,13.0,22.2,0.0,18.0,18.9,32.88,970.0,7.1177,2005,2,13,44,Winter,Normal,No Rain,Low,1,0,0,0,21.69,21.79,0.0,0.25,46.2,61.17,33.7,64.3,33.2,10.1,1.58,37.8,39.0,Good,44.0,Moderate,Low,22.2,19.36,-0.296,0.0,0.099,0,0,1,0,0,0,0,22.1,22.5,0.0,0.0,46.0,39.0,41.91,57.0
2005-02-14,32.7,12.9,23.2,0.0,14.8,19.9,25.59,970.0,7.223,2005,2,14,45,Winter,Normal,No Rain,Low,1,0,0,0,21.83,21.88,0.0,0.25,43.16,60.05,52.8,97.9,37.8,10.6,1.53,39.8,56.0,Moderate,45.9,Moderate,Low,23.2,19.64,-0.296,0.0,0.15,1,0,1,0,0,0,0,22.2,22.2,0.0,0.0,39.0,43.0,32.88,46.83
2005-02-15,33.5,14.8,24.5,0.0,11.4,22.0,28.34,970.0,7.0406,2005,2,15,46,Winter,Normal,No Rain,Low,1,0,0,0,22.36,22.04,0.0,0.25,39.34,59.01,38.9,74.5,37.4,11.0,1.84,42.5,45.0,Good,46.4,Moderate,Low,24.5,20.56,-0.296,0.0,0.114,0,0,1,0,0,0,0,23.2,20.8,0.0,0.0,56.0,41.0,25.59,55.1
2005-02-16,33.6,17.0,25.4,0.0,9.5,23.7,24.97,970.0,6.9722,2005,2,16,47,Winter,Normal,No Rain,Low,1,0,0,0,22.99,22.18,0.0,0.25,35.27,57.65,44.4,72.9,32.8,11.4,1.69,39.9,46.0,Good,46.9,Moderate,Medium,25.4,20.9,-0.296,0.0,0.126,0,0,1,0,1,0,0,24.5,21.0,0.0,0.0,45.0,43.0,28.34,53.48
2005-02-17,33.2,16.9,25.4,0.0,11.3,23.9,26.75,970.0,6.9041,2005,2,17,48,Winter,Normal,No Rain,Low,1,0,0,0,23.5,22.28,0.0,0.25,32.44,56.35,47.9,76.3,40.8,7.8,1.37,35.3,49.0,Good,47.9,Moderate,Medium,25.4,21.01,-0.296,0.0,0.135,0,0,1,0,1,0,0,25.4,21.8,0.0,0.0,46.0,42.0,24.97,46.55
2005-02-18,32.8,17.5,25.4,0.0,13.2,23.6,31.77,970.0,6.9427,2005,2,18,49,Winter,Normal,No Rain,Low,1,0,0,0,24.03,22.38,0.0,0.25,30.32,55.15,46.2,91.7,31.5,11.1,1.76,42.1,51.0,Moderate,47.4,Moderate,Medium,25.4,21.31,-0.296,0.0,0.133,1,0,1,0,1,0,0,25.4,21.7,0.0,0.0,49.0,54.0,26.75,46.63
2005-02-19,32.5,18.6,25.0,0.0,17.1,23.3,34.07,970.0,7.081,2005,2,19,50,Winter,Normal,No Rain,Low,1,0,0,0,24.44,22.48,0.0,0.25,29.2,54.29,52.5,97.5,36.3,7.2,1.47,32.5,55.0,Moderate,48.7,Moderate,Medium,25.0,21.19,-0.296,0.0,0.149,1,0,1,0,1,0,0,25.4,22.1,0.0,0.0,51.0,46.0,31.77,41.91
2005-02-20,31.7,16.5,24.0,0.0,16.2,21.6,35.63,970.0,6.7994,2005,2,20,51,Winter,Normal,No Rain,Low,1,0,0,0,24.7,22.56,0.0,0.25,29.59,53.34,48.2,92.3,32.2,10.2,1.66,29.0,51.0,Moderate,50.4,Moderate,Low,24.0,20.64,-0.296,0.0,0.137,1,0,1,0,0,0,0,25.0,22.2,0.0,0.0,55.0,39.0,34.07,32.88
2005-02-21,31.1,16.2,23.6,0.0,15.1,21.8,45.79,970.0,6.9058,2005,2,21,52,Winter,Normal,No Rain,Low,1,0,0,0,24.76,22.61,0.0,0.25,32.47,52.6,38.8,58.4,27.8,8.1,1.56,43.8,40.0,Good,48.1,Moderate,Low,23.6,20.89,-0.296,0.0,0.11,0,0,1,0,0,0,0,24.0,23.2,0.0,0.0,51.0,56.0,35.63,25.59
2005-02-22,30.1,18.2,23.7,0.0,14.1,24.6,54.59,970.0,5.2258,2005,2,22,53,Winter,Normal,No Rain,Medium,1,0,0,0,24.64,22.67,0.0,0.24,36.22,52.23,60.0,100.7,36.0,10.3,1.44,44.6,61.0,Moderate,50.4,Moderate,Low,23.7,21.4,-0.292,0.0,0.169,1,0,1,1,0,0,0,23.6,24.5,0.0,0.0,40.0,45.0,45.79,28.34
2005-02-23,30.4,20.1,24.8,0.1,15.0,25.9,54.15,970.0,6.0331,2005,2,23,54,Winter,Normal,Light,Medium,1,0,0,0,24.56,22.73,0.01,0.25,40.39,51.85,46.2,86.4,42.3,6.5,1.16,35.0,51.0,Moderate,51.1,Moderate,Low,24.8,22.2,-0.176,0.0,0.133,1,0,1,1,0,0,1,23.7,25.4,0.0,0.0,61.0,46.0,54.59,24.97
2005-02-24,31.4,19.4,25.2,0.0,14.7,25.4,51.86,970.0,6.0106,2005,2,24,55,Winter,Normal,No Rain,Medium,1,0,0,0,24.53,22.82,0.01,0.25,43.98,51.59,43.8,67.4,34.4,10.6,1.54,34.6,44.0,Good,50.4,Moderate,Medium,25.2,22.37,-0.296,0.0,0.123,0,0,1,1,1,0,0,24.8,25.4,0.1,0.0,51.0,49.0,54.15,26.75
2005-02-25,32.3,18.1,25.3,0.0,14.3,24.3,38.79,970.0,6.9694,2005,2,25,56,Winter,Normal,No Rain,Low,1,0,0,0,24.51,22.91,0.01,0.25,44.98,50.89,51.5,91.9,28.6,7.9,1.32,40.2,53.0,Moderate,50.7,Moderate,Medium,25.3,21.66,-0.296,0.0,0.145,1,0,1,0,1,0,0,25.2,25.4,0.0,0.0,44.0,51.0,51.86,31.77
2005-02-26,32.0,18.4,25.2,0.0,17.4,23.7,37.54,970.0,6.997,2005,2,26,57,Winter,Normal,No Rain,Low,1,0,0,0,24.54,23.01,0.01,0.24,45.48,50.0,46.5,79.8,35.5,10.5,1.18,32.1,48.0,Good,49.7,Moderate,Medium,25.2,21.52,-0.288,0.0,0.131,0,0,1,0,1,0,0,25.3,25.0,0.0,0.0,53.0,55.0,38.79,34.07
2005-02-27,31.8,17.5,24.5,0.0,15.0,21.8,31.38,970.0,7.2245,2005,2,27,58,Winter,Normal,No Rain,Low,1,0,0,0,24.61,23.08,0.01,0.24,44.87,48.82,47.6,71.8,31.3,10.2,1.7,36.5,47.0,Good,49.1,Moderate,Low,24.5,20.73,-0.288,0.0,0.133,0,0,1,0,0,0,0,25.2,24.0,0.0,0.0,48.0,51.0,37.54,35.63
2005-02-28,31.8,16.9,24.4,0.0,17.1,21.6,28.55,970.0,7.4431,2005,2,28,59,Winter,Normal,No Rain,Low,1,0,0,0,24.73,23.16,0.01,0.24,42.41,47.75,62.2,100.7,38.8,10.3,1.33,39.0,62.0,Moderate,52.3,Moderate,Low,24.4,20.51,-0.288,0.0,0.174,1,0,1,0,0,0,0,24.5,23.6,0.0,0.0,47.0,40.0,31.38,45.79
2005-03-01,31.8,17.1,24.5,0.0,17.7,22.4,41.77,970.0,7.2648,2005,3,1,60,Summer,Normal,No Rain,Low,0,1,0,0,24.84,23.26,0.01,0.24,40.58,46.96,38.1,62.5,30.1,8.6,0.9,34.5,40.0,Good,49.3,Moderate,Low,24.5,21.3,-0.288,0.0,0.108,0,1,1,0,0,0,0,24.4,23.7,0.0,0.0,62.0,61.0,28.55,54.59
2005-03-02,32.1,15.9,24.2,0.0,15.6,22.8,41.98,970.0,7.248,2005,3,2,61,Summer,Normal,No Rain,Low,0,1,0,0,24.76,23.39,0.0,0.1,38.84,45.8,37.8,58.8,23.9,6.2,1.35,43.7,39.0,Good,47.6,Moderate,Low,24.2,21.1,-0.272,0.0,0.107,0,1,1,0,0,0,0,24.5,24.8,0.0,0.1,40.0,51.0,41.77,54.15
2005-03-03,32.5,16.2,24.4,0.0,14.8,23.2,44.15,970.0,7.3025,2005,3,3,62,Summer,Normal,No Rain,Low,0,1,0,0,24.64,23.5,0.0,0.05,37.74,44.45,40.8,74.1,33.0,11.5,1.31,39.6,45.0,Good,47.7,Moderate,Low,24.4,21.36,-0.195,0.0,0.118,0,1,1,0,0,0,0,24.2,25.2,0.0,0.0,39.0,44.0,41.98,51.86
