date,temperature_max,temperature_min,temperature_mean,rainfall,wind_speed,apparent_temp,humidity,pressure,solar,year,month,day,doy,season,temp_class,rain_class,flood_risk,season_Winter,season_Summer,season_Southwest_Monsoon,season_Post-Monsoon,temperature_mean_7d_avg,temperature_mean_30d_avg,rainfall_7d_avg,rainfall_30d_avg,humidity_7d_avg,humidity_30d_avg
2005-01-16,27.7,12.8,19.8,0.0,12.9,18.9,59.33,970.0,5.9945,2005,1,16,16,Winter,Normal,No Rain,Medium,1,0,0,0,20.73,20.85,0.0,0.51,58.78,62.96
2005-01-17,28.0,14.9,21.2,0.0,12.6,21.4,66.0,970.0,5.407,2005,1,17,17,Winter,Normal,No Rain,Medium,1,0,0,0,20.83,20.87,0.0,0.48,59.95,63.14
2005-01-18,28.4,17.1,22.3,0.0,12.3,23.1,65.58,970.0,5.2246,2005,1,18,18,Winter,Normal,No Rain,Medium,1,0,0,0,20.97,20.95,0.0,0.46,61.08,63.28
2005-01-19,28.1,17.3,22.4,0.0,15.0,22.9,67.71,970.0,4.8098,2005,1,19,19,Winter,Normal,No Rain,Medium,1,0,0,0,21.09,21.03,0.0,0.43,63.08,63.51
2005-01-20,28.3,17.2,22.1,0.0,16.0,21.7,60.12,970.0,5.8937,2005,1,20,20,Winter,Normal,No Rain,Medium,1,0,0,0,21.26,21.08,0.0,0.41,63.06,63.34
2005-01-21,28.5,15.7,21.5,0.0,17.3,21.0,64.15,970.0,6.0485,2005,1,21,21,Winter,Normal,No Rain,Medium,1,0,0,0,21.4,21.1,0.0,0.39,63.18,63.38
2005-01-22,27.3,17.9,22.1,0.0,15.4,22.1,67.79,970.0,5.1338,2005,1,22,22,Winter,Normal,No Rain,Medium,1,0,0,0,21.63,21.15,0.0,0.37,64.38,63.58
2005-01-23,26.8,18.3,22.1,0.1,14.8,22.6,65.63,970.0,5.2493,2005,1,23,23,Winter,Normal,Light,Medium,1,0,0,0,21.96,21.19,0.01,0.36,65.28,63.67
2005-01-24,28.9,17.2,22.9,0.0,14.2,23.1,65.73,970.0,5.4089,2005,1,24,24,Winter,Normal,No Rain,Medium,1,0,0,0,22.2,21.26,0.01,0.35,65.24,63.76
2005-01-25,29.1,17.1,22.6,0.0,14.8,22.7,59.68,970.0,5.9472,2005,1,25,25,Winter,Normal,No Rain,Medium,1,0,0,0,22.24,21.31,0.01,0.33,64.4,63.59
2005-01-26,28.6,17.3,22.6,0.0,13.2,23.3,59.81,970.0,5.7113,2005,1,26,26,Winter,Normal,No Rain,Medium,1,0,0,0,22.27,21.36,0.01,0.32,63.27,63.45
2005-01-27,27.5,17.0,22.2,0.2,12.2,22.8,64.03,970.0,5.016,2005,1,27,27,Winter,Normal,Light,Medium,1,0,0,0,22.29,21.39,0.04,0.31,63.83,63.47
2005-01-28,26.6,17.7,22.2,0.0,9.0,23.2,66.77,970.0,4.4398,2005,1,28,28,Winter,Normal,No Rain,Medium,1,0,0,0,22.39,21.42,0.04,0.3,64.21,63.59
2005-01-29,27.7,17.2,22.1,0.0,14.0,21.9,60.9,970.0,6.0809,2005,1,29,29,Winter,Normal,No Rain,Medium,1,0,0,0,22.39,21.44,0.04,0.29,63.22,63.49
2005-01-30,27.3,17.3,21.6,0.0,14.1,21.3,65.34,970.0,4.5602,2005,1,30,30,Winter,Normal,No Rain,Medium,1,0,0,0,22.31,21.45,0.03,0.28,63.18,63.56
2005-01-31,23.2,17.4,20.2,4.2,12.9,21.2,76.89,970.0,2.8039,2005,1,31,31,Winter,Normal,Light,Medium,1,0,0,0,21.93,21.41,0.63,0.24,64.77,63.94
2005-02-01,26.2,17.8,21.1,1.4,7.8,22.9,84.53,970.0,3.7716,2005,2,1,32,Winter,Normal,Light,Medium,1,0,0,0,21.71,21.4,0.83,0.2,68.32,64.39
2005-02-02,26.2,18.4,21.6,1.5,11.9,22.8,70.37,970.0,5.22,2005,2,2,33,Winter,Normal,Light,Medium,1,0,0,0,21.57,21.38,1.04,0.25,69.83,64.2
2005-02-03,26.7,18.5,21.9,0.0,15.5,22.6,68.34,970.0,4.573,2005,2,3,34,Winter,Normal,No Rain,Medium,1,0,0,0,21.53,21.38,1.01,0.25,70.45,64.34
2005-02-04,26.5,18.1,21.9,0.0,15.9,22.6,72.26,970.0,4.2233,2005,2,4,35,Winter,Normal,No Rain,Medium,1,0,0,0,21.49,21.43,1.01,0.25,71.23,64.79
2005-02-05,28.3,17.9,22.6,0.0,17.1,23.1,64.48,970.0,5.0386,2005,2,5,36,Winter,Normal,No Rain,Medium,1,0,0,0,21.56,21.51,1.01,0.25,71.74,64.8
2005-02-06,29.1,16.3,22.5,0.0,17.0,22.6,57.0,970.0,5.3743,2005,2,6,37,Winter,Normal,No Rain,Medium,1,0,0,0,21.69,21.59,1.01,0.25,70.55,64.49
2005-02-07,29.7,15.9,22.2,0.0,15.6,20.0,46.83,970.0,6.8016,2005,2,7,38,Winter,Normal,No Rain,Low,1,0,0,0,21.97,21.65,0.41,0.25,66.26,63.86
2005-02-08,29.1,13.6,20.8,0.0,15.5,19.4,55.1,970.0,6.9206,2005,2,8,39,Winter,Normal,No Rain,Medium,1,0,0,0,21.93,21.66,0.21,0.25,62.05,63.55
2005-02-09,29.5,13.7,21.0,0.0,20.7,19.3,53.48,970.0,6.8388,2005,2,9,40,Winter,Normal,No Rain,Medium,1,0,0,0,21.84,21.68,0.0,0.25,59.64,63.41
2005-02-10,29.9,14.9,21.8,0.0,21.3,19.5,46.55,970.0,6.8878,2005,2,10,41,Winter,Normal,No Rain,Low,1,0,0,0,21.83,21.69,0.0,0.25,56.53,63.04
2005-02-11,30.1,12.9,21.7,0.0,18.2,19.7,46.63,970.0,6.8174,2005,2,11,42,Winter,Normal,No Rain,Low,1,0,0,0,21.8,21.7,0.0,0.25,52.87,62.8
2005-02-12,30.6,14.2,22.1,0.0,20.9,19.3,41.91,970.0,7.0308,2005,2,12,43,Winter,Normal,No Rain,Low,1,0,0,0,21.73,21.74,0.0,0.25,49.64,62.19
2005-02-13,31.1,13.0,22.2,0.0,18.0,18.9,32.88,970.0,7.1177,2005,2,13,44,Winter,Normal,No Rain,Low,1,0,0,0,21.69,21.79,0.0,0.25,46.2,61.17
2005-02-14,32.7,12.9,23.2,0.0,14.8,19.9,25.59,970.0,7.223,2005,2,14,45,Winter,Normal,No Rain,Low,1,0,0,0,21.83,21.88,0.0,0.25,43.16,60.05
2005-02-15,33.5,14.8,24.5,0.0,11.4,22.0,28.34,970.0,7.0406,2005,2,15,46,Winter,Normal,No Rain,Low,1,0,0,0,22.36,22.04,0.0,0.25,39.34,59.01
2005-02-16,33.6,17.0,25.4,0.0,9.5,23.7,24.97,970.0,6.9722,2005,2,16,47,Winter,Normal,No Rain,Low,1,0,0,0,22.99,22.18,0.0,0.25,35.27,57.65
2005-02-17,33.2,16.9,25.4,0.0,11.3,23.9,26.75,970.0,6.9041,2005,2,17,48,Winter,Normal,No Rain,Low,1,0,0,0,23.5,22.28,0.0,0.25,32.44,56.35
2005-02-18,32.8,17.5,25.4,0.0,13.2,23.6,31.77,970.0,6.9427,2005,2,18,49,Winter,Normal,No Rain,Low,1,0,0,0,24.03,22.38,0.0,0.25,30.32,55.15
2005-02-19,32.5,18.6,25.0,0.0,17.1,23.3,34.07,970.0,7.081,2005,2,19,50,Winter,Normal,No Rain,Low,1,0,0,0,24.44,22.48,0.0,0.25,29.2,54.29
2005-02-20,31.7,16.5,24.0,0.0,16.2,21.6,35.63,970.0,6.7994,2005,2,20,51,Winter,Normal,No Rain,Low,1,0,0,0,24.7,22.56,0.0,0.25,29.59,53.34
2005-02-21,31.1,16.2,23.6,0.0,15.1,21.8,45.79,970.0,6.9058,2005,2,21,52,Winter,Normal,No Rain,Low,1,0,0,0,24.76,22.61,0.0,0.25,32.47,52.6
2005-02-22,30.1,18.2,23.7,0.0,14.1,24.6,54.59,970.0,5.2258,2005,2,22,53,Winter,Normal,No Rain,Medium,1,0,0,0,24.64,22.67,0.0,0.24,36.22,52.23
2005-02-23,30.4,20.1,24.8,0.1,15.0,25.9,54.15,970.0,6.0331,2005,2,23,54,Winter,Normal,Light,Medium,1,0,0,0,24.56,22.73,0.01,0.25,40.39,51.85
2005-02-24,31.4,19.4,25.2,0.0,14.7,25.4,51.86,970.0,6.0106,2005,2,24,55,Winter,Normal,No Rain,Medium,1,0,0,0,24.53,22.82,0.01,0.25,43.98,51.59
2005-02-25,32.3,18.1,25.3,0.0,14.3,24.3,38.79,970.0,6.9694,2005,2,25,56,Winter,Normal,No Rain,Low,1,0,0,0,24.51,22.91,0.01,0.25,44.98,50.89
2005-02-26,32.0,18.4,25.2,0.0,17.4,23.7,37.54,970.0,6.997,2005,2,26,57,Winter,Normal,No Rain,Low,1,0,0,0,24.54,23.01,0.01,0.24,45.48,50.0
2005-02-27,31.8,17.5,24.5,0.0,15.0,21.8,31.38,970.0,7.2245,2005,2,27,58,Winter,Normal,No Rain,Low,1,0,0,0,24.61,23.08,0.01,0.24,44.87,48.82
2005-02-28,31.8,16.9,24.4,0.0,17.1,21.6,28.55,970.0,7.4431,2005,2,28,59,Winter,Normal,No Rain,Low,1,0,0,0,24.73,23.16,0.01,0.24,42.41,47.75
2005-03-01,31.8,17.1,24.5,0.0,17.7,22.4,41.77,970.0,7.2648,2005,3,1,60,Summer,Normal,No Rain,Low,0,1,0,0,24.84,23.26,0.01,0.24,40.58,46.96
2005-03-02,32.1,15.9,24.2,0.0,15.6,22.8,41.98,970.0,7.248,2005,3,2,61,Summer,Normal,No Rain,Low,0,1,0,0,24.76,23.39,0.0,0.1,38.84,45.8
2005-03-03,32.5,16.2,24.4,0.0,14.8,23.2,44.15,970.0,7.3025,2005,3,3,62,Summer,Normal,No Rain,Low,0,1,0,0,24.64,23.5,0.0,0.05,37.74,44.45
2005-03-04,32.6,16.3,24.6,0.0,14.2,23.6,44.88,970.0,7.169,2005,3,4,63,Summer,Normal,No Rain,Low,0,1,0,0,24.54,23.6,0.0,0.0,38.61,43.6
2005-03-05,32.6,17.6,25.2,0.0,17.2,25.5,51.78,970.0,6.2659,2005,3,5,64,Summer,Normal,No Rain,Medium,0,1,0,0,24.54,23.71,0.0,0.0,40.64,43.05
2005-03-06,30.9,19.8,25.0,0.1,12.6,26.3,50.48,970.0,5.1106,2005,3,6,65,Summer,Normal,Light,Medium,0,1,0,0,24.61,23.81,0.01,0.01,43.37,42.32
2005-03-07,32.0,20.5,25.7,0.0,13.0,26.6,45.98,970.0,5.9393,2005,3,7,66,Summer,Normal,No Rain,Low,0,1,0,0,24.8,23.92,0.01,0.01,45.86,41.71
2005-03-08,31.6,19.4,25.0,0.0,16.3,25.5,54.96,970.0,6.1361,2005,3,8,67,Summer,Normal,No Rain,Medium,0,1,0,0,24.87,24.0,0.01,0.01,47.74,41.64
2005-03-09,31.2,19.7,24.9,0.1,12.7,26.0,54.44,970.0,5.7372,2005,3,9,68,Summer,Normal,Light,Medium,0,1,0,0,24.97,24.09,0.03,0.01,49.52,41.89
2005-03-10,30.6,20.1,24.3,4.0,10.6,26.2,54.54,970.0,5.6554,2005,3,10,69,Summer,Normal,Light,Medium,0,1,0,0,24.96,24.21,0.6,0.14,51.01,41.87
2005-03-11,32.1,19.3,25.5,0.1,12.0,27.0,55.47,970.0,6.2662,2005,3,11,70,Summer,Normal,Light,Medium,0,1,0,0,25.09,24.36,0.61,0.15,52.52,41.94
2005-03-12,31.3,20.3,25.7,0.0,10.5,27.0,53.44,970.0,6.1198,2005,3,12,71,Summer,Normal,No Rain,Medium,0,1,0,0,25.16,24.49,0.61,0.15,52.76,42.17
2005-03-13,31.9,20.1,25.4,0.0,17.7,26.3,49.16,970.0,6.4202,2005,3,13,72,Summer,Normal,No Rain,Low,0,1,0,0,25.21,24.61,0.6,0.15,52.57,42.25
2005-03-14,33.1,19.6,25.5,0.2,13.7,26.0,48.02,970.0,6.7284,2005,3,14,73,Summer,Normal,Light,Low,0,1,0,0,25.19,24.72,0.63,0.15,52.86,42.46
2005-03-15,33.4,19.9,26.1,0.0,13.3,26.3,49.4,970.0,6.5988,2005,3,15,74,Summer,Normal,No Rain,Low,0,1,0,0,25.34,24.85,0.63,0.15,52.07,43.01
2005-03-16,32.8,18.6,25.7,0.0,15.9,25.6,45.95,970.0,7.1774,2005,3,16,75,Summer,Normal,No Rain,Low,0,1,0,0,25.46,24.94,0.61,0.15,50.85,43.69
2005-03-17,32.6,18.5,25.3,0.0,18.4,24.2,39.69,970.0,7.2869,2005,3,17,76,Summer,Normal,No Rain,Low,0,1,0,0,25.6,24.96,0.04,0.15,48.73,44.06
2005-03-18,32.8,16.8,25.1,0.0,20.2,23.7,36.08,970.0,7.5934,2005,3,18,77,Summer,Normal,No Rain,Low,0,1,0,0,25.54,24.95,0.03,0.15,45.96,44.43
2005-03-19,33.4,17.2,25.4,0.0,19.5,23.2,32.25,970.0,7.6236,2005,3,19,78,Summer,Normal,No Rain,Low,0,1,0,0,25.5,24.95,0.03,0.15,42.94,44.62
2005-03-20,32.5,16.6,24.9,0.0,12.2,23.6,42.22,970.0,7.6044,2005,3,20,79,Summer,Normal,No Rain,Low,0,1,0,0,25.43,24.94,0.03,0.15,41.94,44.97
2005-03-21,34.3,17.5,26.1,0.0,11.6,25.5,39.8,970.0,7.5672,2005,3,21,80,Summer,Normal,No Rain,Low,0,1,0,0,25.51,24.97,0.0,0.15,40.77,45.16
2005-03-22,34.8,19.3,27.1,0.0,11.5,26.9,36.21,970.0,7.1244,2005,3,22,81,Summer,Normal,No Rain,Low,0,1,0,0,25.66,25.08,0.0,0.15,38.89,45.18
2005-03-23,32.4,21.2,27.1,0.0,12.7,27.5,35.88,970.0,6.5098,2005,3,23,82,Summer,Normal,No Rain,Low,0,1,0,0,25.86,25.19,0.0,0.15,37.45,44.85
2005-03-24,33.7,22.2,27.9,0.0,12.1,28.1,33.32,970.0,7.2449,2005,3,24,83,Summer,Normal,No Rain,Low,0,1,0,0,26.23,25.33,0.0,0.15,36.54,44.14
2005-03-25,34.4,21.6,28.1,0.0,14.1,28.4,33.1,970.0,7.2518,2005,3,25,84,Summer,Normal,No Rain,Low,0,1,0,0,26.66,25.44,0.0,0.15,36.11,43.44
2005-03-26,34.0,20.4,27.5,0.0,10.0,27.7,29.74,970.0,6.9691,2005,3,26,85,Summer,Normal,No Rain,Low,0,1,0,0,26.96,25.52,0.0,0.15,35.75,42.7
2005-03-27,32.1,21.5,27.2,0.0,13.9,28.0,40.9,970.0,6.119,2005,3,27,86,Summer,Normal,No Rain,Low,0,1,0,0,27.29,25.58,0.0,0.15,35.56,42.77
2005-03-28,33.7,22.1,27.8,0.0,10.6,28.7,37.65,970.0,6.4951,2005,3,28,87,Summer,Normal,No Rain,Low,0,1,0,0,27.53,25.67,0.0,0.15,35.26,42.77
2005-03-29,33.6,21.9,27.8,0.0,11.8,28.3,31.41,970.0,5.0604,2005,3,29,88,Summer,Normal,No Rain,Low,0,1,0,0,27.63,25.78,0.0,0.15,34.57,42.77
2005-03-30,33.6,21.0,27.4,0.0,9.8,29.0,32.3,970.0,6.7747,2005,3,30,89,Summer,Normal,No Rain,Low,0,1,0,0,27.67,25.88,0.0,0.15,34.06,42.9
2005-03-31,31.9,22.3,27.3,0.0,12.4,28.6,44.67,970.0,5.1602,2005,3,31,90,Summer,Normal,No Rain,Low,0,1,0,0,27.59,25.97,0.0,0.15,35.68,43.0
2005-04-01,32.1,21.8,26.7,1.4,7.6,28.4,45.63,970.0,5.8006,2005,4,1,91,Summer,Normal,Light,Low,0,1,0,0,27.39,26.06,0.2,0.2,37.47,43.12
2005-04-02,33.0,21.4,27.1,0.0,16.2,27.6,44.4,970.0,6.9595,2005,4,2,92,Summer,Normal,No Rain,Low,0,1,0,0,27.33,26.15,0.2,0.2,39.57,43.12
2005-04-03,32.0,20.2,25.5,0.0,21.4,26.3,59.03,970.0,6.3269,2005,4,3,93,Summer,Normal,No Rain,Medium,0,1,0,0,27.09,26.18,0.2,0.2,42.16,43.6
2005-04-04,27.9,19.6,23.7,0.2,17.7,25.2,65.62,970.0,3.8755,2005,4,4,94,Summer,Normal,Light,Medium,0,1,0,0,26.5,26.13,0.23,0.2,46.15,44.06
2005-04-05,25.5,20.6,22.1,9.4,19.6,23.8,73.04,970.0,3.8266,2005,4,5,95,Summer,Normal,Moderate,Medium,0,1,0,0,25.69,26.03,1.57,0.51,52.1,44.81
2005-04-06,27.9,19.4,22.8,8.7,10.9,25.1,78.06,970.0,4.3145,2005,4,6,96,Summer,Normal,Moderate,Medium,0,1,0,0,25.03,25.93,2.81,0.8,58.64,45.88
2005-04-07,28.0,20.2,23.5,6.1,9.4,26.4,77.51,970.0,4.2403,2005,4,7,97,Summer,Normal,Light,Medium,0,1,0,0,24.49,25.88,3.69,1.01,63.33,46.63
2005-04-08,29.8,19.9,24.7,0.0,15.2,26.7,64.27,970.0,6.1469,2005,4,8,98,Summer,Normal,No Rain,Medium,0,1,0,0,24.2,25.88,3.49,1.0,65.99,46.96
2005-04-09,30.3,20.1,24.4,0.8,10.5,26.8,64.3,970.0,5.9892,2005,4,9,99,Summer,Normal,Light,Medium,0,1,0,0,23.81,25.88,3.6,0.9,68.83,47.28
2005-04-10,30.3,20.8,25.0,0.0,14.3,27.7,66.11,970.0,5.903,2005,4,10,100,Summer,Normal,No Rain,Medium,0,1,0,0,23.74,25.86,3.6,0.89,69.84,47.64
2005-04-11,29.8,21.0,23.7,15.9,8.7,27.2,69.82,970.0,6.3108,2005,4,11,101,Summer,Normal,Moderate,Medium,0,1,0,0,23.74,25.8,5.84,1.42,70.44,48.18
2005-04-12,29.2,20.6,24.2,1.8,9.7,27.5,67.62,970.0,5.9244,2005,4,12,102,Summer,Normal,Light,Medium,0,1,0,0,24.04,25.76,4.76,1.48,69.67,48.8
2005-04-13,30.0,20.4,24.8,0.2,9.9,27.6,67.77,970.0,6.169,2005,4,13,103,Summer,Normal,Light,Medium,0,1,0,0,24.33,25.73,3.54,1.48,68.2,49.46
2005-04-14,30.7,20.2,25.3,0.2,7.2,28.1,63.43,970.0,6.0883,2005,4,14,104,Summer,Normal,Light,Medium,0,1,0,0,24.59,25.71,2.7,1.49,66.19,49.93
2005-04-15,31.1,20.3,25.7,0.0,9.3,27.9,62.41,970.0,7.151,2005,4,15,105,Summer,Normal,No Rain,Medium,0,1,0,0,24.73,25.71,2.7,1.49,65.92,50.47
2005-04-16,32.3,19.6,25.9,0.0,11.5,27.4,56.99,970.0,6.9979,2005,4,16,106,Summer,Normal,No Rain,Medium,0,1,0,0,24.94,25.73,2.59,1.49,64.88,51.05
2005-04-17,32.9,19.5,26.1,0.0,13.3,26.6,51.92,970.0,7.5552,2005,4,17,107,Summer,Normal,No Rain,Medium,0,1,0,0,25.1,25.76,2.59,1.49,62.85,51.58
2005-04-18,33.6,20.8,26.7,0.0,14.5,26.8,54.84,970.0,7.3966,2005,4,18,108,Summer,Normal,No Rain,Medium,0,1,0,0,25.53,25.8,0.31,1.49,60.71,52.33
2005-04-19,33.5,19.1,26.4,0.0,13.8,26.9,54.13,970.0,7.223,2005,4,19,109,Summer,Normal,No Rain,Medium,0,1,0,0,25.84,25.85,0.06,1.49,58.78,52.73
2005-04-20,32.3,19.9,25.5,0.3,16.9,26.5,66.3,970.0,6.594,2005,4,20,110,Summer,Normal,Light,Medium,0,1,0,0,25.94,25.83,0.07,1.5,58.57,53.61
2005-04-21,32.6,20.0,25.8,0.0,13.8,27.3,59.06,970.0,7.0812,2005,4,21,111,Summer,Normal,No Rain,Medium,0,1,0,0,26.01,25.79,0.04,1.5,57.95,54.37
2005-04-22,33.5,20.6,26.7,0.0,14.5,28.1,58.36,970.0,6.9936,2005,4,22,112,Summer,Normal,No Rain,Medium,0,1,0,0,26.16,25.78,0.04,1.5,57.37,55.12
2005-04-23,33.9,21.1,27.4,0.0,13.9,28.7,53.61,970.0,6.8702,2005,4,23,113,Summer,Normal,No Rain,Medium,0,1,0,0,26.37,25.76,0.04,1.5,56.89,55.8
2005-04-24,33.5,22.2,27.3,0.0,9.3,28.7,61.22,970.0,6.3134,2005,4,24,114,Summer,Normal,No Rain,Medium,0,1,0,0,26.54,25.73,0.04,1.5,58.22,56.74
2005-04-25,32.2,21.8,26.5,0.3,10.9,28.4,56.7,970.0,5.6239,2005,4,25,115,Summer,Normal,Light,Medium,0,1,0,0,26.51,25.7,0.09,1.51,58.48,57.64
2005-04-26,33.6,21.4,26.5,1.1,9.9,29.4,62.03,970.0,6.4486,2005,4,26,116,Summer,Normal,Light,Medium,0,1,0,0,26.53,25.68,0.24,1.55,59.61,58.34
2005-04-27,32.4,21.2,25.0,17.0,7.4,28.4,66.01,970.0,6.1738,2005,4,27,117,Summer,Normal,Moderate,Medium,0,1,0,0,26.46,25.58,2.63,2.11,59.57,59.29
2005-04-28,32.7,21.0,26.1,0.6,8.9,29.0,58.16,970.0,6.7822,2005,4,28,118,Summer,Normal,Light,Medium,0,1,0,0,26.5,25.53,2.71,2.13,59.44,60.18
2005-04-29,32.2,20.5,26.5,0.0,8.9,28.7,57.77,970.0,7.0793,2005,4,29,119,Summer,Normal,No Rain,Medium,0,1,0,0,26.47,25.5,2.71,2.13,59.36,61.03
2005-04-30,33.8,21.6,27.6,0.0,13.7,29.2,56.94,970.0,6.7584,2005,4,30,120,Summer,Normal,No Rain,Medium,0,1,0,0,26.5,25.51,2.71,2.13,59.83,61.44
2005-05-01,32.7,21.9,27.0,0.0,10.9,28.8,59.06,970.0,7.0296,2005,5,1,121,Summer,Normal,No Rain,Medium,0,1,0,0,26.46,25.52,2.71,2.09,59.52,61.88
2005-05-02,32.1,20.4,26.1,0.0,17.5,28.0,67.57,970.0,6.461,2005,5,2,122,Summer,Normal,No Rain,Medium,0,1,0,0,26.4,25.48,2.67,2.09,61.08,62.66
2005-05-03,31.8,21.8,26.0,0.0,11.9,27.9,63.98,970.0,6.4301,2005,5,3,123,Summer,Normal,No Rain,Medium,0,1,0,0,26.33,25.5,2.51,2.09,61.36,62.82
2005-05-04,31.6,20.9,25.8,1.5,7.5,28.0,70.55,970.0,6.1135,2005,5,4,124,Summer,Normal,Light,Medium,0,1,0,0,26.44,25.57,0.3,2.13,62.0,62.98
2005-05-05,29.5,20.9,24.2,1.8,8.8,26.7,68.85,970.0,5.8109,2005,5,5,125,Summer,Normal,Light,Medium,0,1,0,0,26.17,25.64,0.47,1.88,63.53,62.85
2005-05-06,30.9,20.9,25.8,0.0,9.2,27.3,62.81,970.0,6.7726,2005,5,6,126,Summer,Normal,No Rain,Medium,0,1,0,0,26.07,25.74,0.47,1.59,64.25,62.34
2005-05-07,31.4,20.6,26.4,0.0,8.3,27.9,60.3,970.0,6.8278,2005,5,7,127,Summer,Normal,No Rain,Medium,0,1,0,0,25.9,25.84,0.47,1.38,64.73,61.76
2005-05-08,32.4,21.5,27.3,0.0,12.1,28.2,61.87,970.0,6.5376,2005,5,8,128,Summer,Normal,No Rain,Medium,0,1,0,0,25.94,25.92,0.47,1.38,65.13,61.68
2005-05-09,32.7,21.9,26.0,2.8,15.0,27.6,59.22,970.0,4.9044,2005,5,9,129,Summer,Normal,Light,Medium,0,1,0,0,25.93,25.98,0.87,1.45,63.94,61.51
2005-05-10,33.7,21.9,26.1,5.1,15.5,28.1,60.5,970.0,6.8998,2005,5,10,130,Summer,Normal,Light,Medium,0,1,0,0,25.94,26.01,1.6,1.62,63.44,61.33
2005-05-11,31.8,20.9,25.9,0.8,13.7,28.2,61.73,970.0,4.7755,2005,5,11,131,Summer,Normal,Light,Medium,0,1,0,0,25.96,26.09,1.5,1.12,62.18,61.06
2005-05-12,33.6,22.2,26.5,2.6,10.0,29.0,60.48,970.0,6.805,2005,5,12,132,Summer,Normal,Light,Medium,0,1,0,0,26.29,26.16,1.61,1.14,60.99,60.82
2005-05-13,31.1,21.3,25.6,4.5,13.5,28.1,58.59,970.0,6.3348,2005,5,13,133,Summer,Normal,Light,Medium,0,1,0,0,26.26,26.19,2.26,1.29,60.38,60.51
2005-05-14,34.0,21.5,27.6,0.0,17.4,29.1,44.83,970.0,7.0032,2005,5,14,134,Summer,Normal,No Rain,Low,0,1,0,0,26.43,26.27,2.26,1.28,58.17,59.89
