date,pm25,pm10,no2,so2,co,o3,aqi,aqi_class,aqi_7d_avg,year,month,season
2005-01-19,58.7,98.5,30.8,10.1,1.54,28.3,57.0,Moderate,51.6,2005,1,Winter
2005-01-20,47.6,72.4,33.0,9.7,1.2,18.5,46.0,Good,50.1,2005,1,Winter
2005-01-21,55.9,111.5,36.1,8.6,1.34,24.4,59.0,Moderate,51.4,2005,1,Winter
2005-01-22,40.8,66.6,39.3,10.7,1.64,28.6,43.0,Good,50.7,2005,1,Winter
2005-01-23,39.2,61.3,33.0,10.5,1.07,38.0,41.0,Good,49.6,2005,1,Winter
2005-01-24,45.1,76.0,36.2,7.1,1.16,35.0,47.0,Good,50.3,2005,1,Winter
2005-01-25,47.8,89.4,33.3,8.6,1.41,38.2,51.0,Moderate,49.1,2005,1,Winter
2005-01-26,42.0,69.2,25.4,11.7,1.36,36.5,43.0,Good,47.1,2005,1,Winter
2005-01-27,48.6,86.8,34.4,7.5,1.68,33.2,51.0,Moderate,47.9,2005,1,Winter
2005-01-28,46.9,80.2,29.6,9.2,0.89,33.8,48.0,Good,46.3,2005,1,Winter
2005-01-29,37.8,58.9,39.7,10.0,1.47,36.1,41.0,Good,46.0,2005,1,Winter
2005-01-30,48.4,80.6,39.7,7.2,1.83,32.4,50.0,Good,47.3,2005,1,Winter
2005-01-31,50.8,94.7,31.3,9.3,1.57,35.3,53.0,Moderate,48.1,2005,1,Winter
2005-02-01,46.0,83.1,30.6,9.2,1.11,35.6,48.0,Good,47.7,2005,2,Winter
2005-02-02,52.9,82.5,32.1,8.9,2.1,35.2,52.0,Moderate,49.0,2005,2,Winter
2005-02-03,36.3,57.4,36.7,6.4,1.35,31.3,39.0,Good,47.3,2005,2,Winter
2005-02-04,48.1,87.5,36.7,9.5,0.88,40.9,52.0,Moderate,47.9,2005,2,Winter
2005-02-05,36.6,69.8,48.2,8.3,1.69,41.0,44.0,Good,48.3,2005,2,Winter
2005-02-06,37.0,62.0,33.4,11.6,1.29,28.2,39.0,Good,46.7,2005,2,Winter
2005-02-07,40.4,72.6,35.0,10.3,1.96,24.6,43.0,Good,45.3,2005,2,Winter
2005-02-08,38.2,60.6,42.3,7.9,1.67,32.6,41.0,Good,44.3,2005,2,Winter
2005-02-09,41.0,67.8,35.7,8.7,2.02,31.0,43.0,Good,43.0,2005,2,Winter
2005-02-10,43.3,65.4,30.2,9.8,1.23,26.9,42.0,Good,43.4,2005,2,Winter
2005-02-11,50.7,95.5,36.0,8.7,1.81,33.4,54.0,Moderate,43.7,2005,2,Winter
2005-02-12,42.6,72.4,37.4,6.5,1.29,42.5,46.0,Good,44.0,2005,2,Winter
2005-02-13,33.7,64.3,33.2,10.1,1.58,37.8,39.0,Good,44.0,2005,2,Winter
2005-02-14,52.8,97.9,37.8,10.6,1.53,39.8,56.0,Moderate,45.9,2005,2,Winter
2005-02-15,38.9,74.5,37.4,11.0,1.84,42.5,45.0,Good,46.4,2005,2,Winter
2005-02-16,44.4,72.9,32.8,11.4,1.69,39.9,46.0,Good,46.9,2005,2,Winter
2005-02-17,47.9,76.3,40.8,7.8,1.37,35.3,49.0,Good,47.9,2005,2,Winter
2005-02-18,46.2,91.7,31.5,11.1,1.76,42.1,51.0,Moderate,47.4,2005,2,Winter
2005-02-19,52.5,97.5,36.3,7.2,1.47,32.5,55.0,Moderate,48.7,2005,2,Winter
2005-02-20,48.2,92.3,32.2,10.2,1.66,29.0,51.0,Moderate,50.4,2005,2,Winter
2005-02-21,38.8,58.4,27.8,8.1,1.56,43.8,40.0,Good,48.1,2005,2,Winter
2005-02-22,60.0,100.7,36.0,10.3,1.44,44.6,61.0,Moderate,50.4,2005,2,Winter
2005-02-23,46.2,86.4,42.3,6.5,1.16,35.0,51.0,Moderate,51.1,2005,2,Winter
2005-02-24,43.8,67.4,34.4,10.6,1.54,34.6,44.0,Good,50.4,2005,2,Winter
2005-02-25,51.5,91.9,28.6,7.9,1.32,40.2,53.0,Moderate,50.7,2005,2,Winter
2005-02-26,46.5,79.8,35.5,10.5,1.18,32.1,48.0,Good,49.7,2005,2,Winter
2005-02-27,47.6,71.8,31.3,10.2,1.7,36.5,47.0,Good,49.1,2005,2,Winter
2005-02-28,62.2,100.7,38.8,10.3,1.33,39.0,62.0,Moderate,52.3,2005,2,Winter
2005-03-01,38.1,62.5,30.1,8.6,0.9,34.5,40.0,Good,49.3,2005,3,Summer
2005-03-02,37.8,58.8,23.9,6.2,1.35,43.7,39.0,Good,47.6,2005,3,Summer
2005-03-03,40.8,74.1,33.0,11.5,1.31,39.6,45.0,Good,47.7,2005,3,Summer
2005-03-04,47.5,77.0,31.8,8.2,1.33,37.8,48.0,Good,47.0,2005,3,Summer
2005-03-05,29.5,48.3,29.8,8.2,1.33,43.5,34.0,Good,45.0,2005,3,Summer
2005-03-06,26.2,51.1,26.8,11.3,1.1,39.5,32.0,Good,42.9,2005,3,Summer
2005-03-07,35.9,62.2,38.2,6.7,1.25,35.4,40.0,Good,39.7,2005,3,Summer
2005-03-08,28.6,48.4,29.2,8.4,1.61,45.4,33.0,Good,38.7,2005,3,Summer
2005-03-09,37.0,68.9,34.6,8.8,1.56,39.1,42.0,Good,39.1,2005,3,Summer
2005-03-10,43.5,85.1,29.1,8.0,1.26,22.8,46.0,Good,39.3,2005,3,Summer
2005-03-11,33.8,51.1,33.7,9.0,1.5,40.9,37.0,Good,37.7,2005,3,Summer
2005-03-12,30.0,51.7,31.2,7.3,1.37,30.1,33.0,Good,37.6,2005,3,Summer
2005-03-13,40.5,73.1,31.1,8.4,1.27,50.3,45.0,Good,39.4,2005,3,Summer
2005-03-14,46.0,76.4,27.7,8.8,1.66,41.8,47.0,Good,40.4,2005,3,Summer
2005-03-15,28.1,53.1,33.1,11.2,1.13,42.0,34.0,Good,40.6,2005,3,Summer
2005-03-16,45.7,90.8,36.6,11.8,1.43,44.1,52.0,Moderate,42.0,2005,3,Summer
2005-03-17,45.7,90.1,26.9,8.8,0.93,31.5,49.0,Good,42.4,2005,3,Summer
2005-03-18,46.7,76.2,27.7,10.9,1.44,42.6,48.0,Good,44.0,2005,3,Summer
2005-03-19,48.5,78.3,42.8,7.0,1.18,35.7,50.0,Good,46.4,2005,3,Summer
2005-03-20,55.4,109.7,27.0,13.0,1.25,38.9,58.0,Moderate,48.3,2005,3,Summer
2005-03-21,37.5,64.9,28.8,8.0,1.28,43.2,41.0,Good,47.4,2005,3,Summer
2005-03-22,40.8,65.4,36.5,8.4,0.8,38.4,43.0,Good,48.7,2005,3,Summer
2005-03-23,37.1,68.7,36.7,9.6,0.95,31.7,41.0,Good,47.1,2005,3,Summer
2005-03-24,40.0,65.7,21.3,10.2,1.56,43.9,41.0,Good,46.0,2005,3,Summer
2005-03-25,50.7,82.9,34.1,8.2,1.38,45.2,52.0,Moderate,46.6,2005,3,Summer
2005-03-26,30.6,59.3,30.2,4.5,1.71,36.2,36.0,Good,44.6,2005,3,Summer
2005-03-27,34.0,53.7,30.4,9.8,1.01,38.0,37.0,Good,41.6,2005,3,Summer
2005-03-28,49.6,76.1,35.7,6.7,1.56,41.0,50.0,Good,42.9,2005,3,Summer
2005-03-29,47.1,77.1,29.6,10.0,1.47,51.8,49.0,Good,43.7,2005,3,Summer
2005-03-30,37.5,67.6,29.0,10.0,1.64,51.0,42.0,Good,43.9,2005,3,Summer
2005-03-31,46.0,71.8,29.7,8.9,1.32,47.9,47.0,Good,44.7,2005,3,Summer
2005-04-01,42.4,73.6,29.6,10.3,1.38,53.0,46.0,Good,43.9,2005,4,Summer
2005-04-02,50.5,91.6,32.4,7.5,1.13,48.1,54.0,Moderate,46.4,2005,4,Summer
2005-04-03,40.5,78.0,36.3,11.2,1.28,44.2,46.0,Good,47.7,2005,4,Summer
2005-04-04,47.2,76.2,32.7,8.8,1.23,37.4,48.0,Good,47.4,2005,4,Summer
2005-04-05,58.5,111.6,30.9,8.1,1.02,34.5,60.0,Moderate,49.0,2005,4,Summer
2005-04-06,44.2,71.5,33.2,10.8,1.38,40.8,46.0,Good,49.6,2005,4,Summer
2005-04-07,40.3,74.2,34.1,7.2,1.59,44.3,45.0,Good,49.3,2005,4,Summer
2005-04-08,45.1,77.3,33.3,4.3,1.64,55.0,49.0,Good,49.7,2005,4,Summer
2005-04-09,37.4,58.3,28.3,6.0,1.15,42.5,39.0,Good,47.6,2005,4,Summer
2005-04-10,56.7,105.3,32.7,11.4,1.34,44.5,59.0,Moderate,49.4,2005,4,Summer
2005-04-11,41.3,66.4,22.5,9.0,1.32,45.6,42.0,Good,48.6,2005,4,Summer
2005-04-12,38.1,60.5,37.1,8.8,1.72,45.0,42.0,Good,46.0,2005,4,Summer
2005-04-13,34.2,57.3,37.1,10.3,1.8,53.0,40.0,Good,45.1,2005,4,Summer
2005-04-14,47.7,87.1,34.6,9.1,1.02,50.8,52.0,Moderate,46.1,2005,4,Summer
2005-04-15,46.1,74.5,36.0,7.9,1.47,44.3,48.0,Good,46.0,2005,4,Summer
2005-04-16,36.5,58.1,30.7,7.6,1.48,41.3,39.0,Good,46.0,2005,4,Summer
2005-04-17,44.0,66.3,28.0,6.1,1.3,41.7,44.0,Good,43.9,2005,4,Summer
2005-04-18,29.4,51.1,26.0,6.4,1.03,44.8,34.0,Good,42.7,2005,4,Summer
2005-04-19,41.3,70.8,35.0,8.8,1.53,41.2,45.0,Good,43.1,2005,4,Summer
2005-04-20,43.2,69.8,28.0,8.2,1.65,49.4,45.0,Good,43.9,2005,4,Summer
2005-04-21,52.0,79.3,29.5,9.5,1.21,41.5,51.0,Moderate,43.7,2005,4,Summer
2005-04-22,34.6,59.3,31.9,8.3,1.65,52.8,40.0,Good,42.6,2005,4,Summer
2005-04-23,31.1,58.8,30.9,6.4,1.35,48.6,37.0,Good,42.3,2005,4,Summer
2005-04-24,33.7,62.7,32.1,9.0,1.71,38.7,39.0,Good,41.6,2005,4,Summer
2005-04-25,30.6,59.2,23.8,8.9,1.7,52.7,36.0,Good,41.9,2005,4,Summer
2005-04-26,49.4,74.3,30.1,8.5,1.34,38.8,48.0,Good,42.3,2005,4,Summer
2005-04-27,50.8,100.8,34.3,8.8,1.45,53.5,57.0,Moderate,44.0,2005,4,Summer
2005-04-28,42.2,70.6,29.3,12.4,1.17,49.3,45.0,Good,43.1,2005,4,Summer
2005-04-29,48.5,96.9,27.6,6.1,0.94,56.9,54.0,Moderate,45.1,2005,4,Summer
2005-04-30,40.9,66.6,34.8,6.6,1.41,33.0,43.0,Good,46.0,2005,4,Summer
2005-05-01,39.3,68.3,29.3,5.1,0.98,46.5,43.0,Good,46.6,2005,5,Summer
2005-05-02,37.7,63.2,31.7,8.7,1.87,45.8,41.0,Good,47.3,2005,5,Summer
2005-05-03,37.8,63.5,30.2,4.6,1.63,42.9,41.0,Good,46.3,2005,5,Summer
2005-05-04,29.2,56.0,31.0,8.9,1.31,51.0,36.0,Good,43.3,2005,5,Summer
2005-05-05,41.8,78.4,37.1,8.4,2.02,44.5,47.0,Good,43.6,2005,5,Summer
2005-05-06,39.7,79.3,33.3,7.4,1.19,53.4,46.0,Good,42.4,2005,5,Summer
2005-05-07,45.2,81.7,26.1,9.4,1.25,41.6,47.0,Good,43.0,2005,5,Summer
2005-05-08,40.7,70.4,29.5,9.1,1.25,36.7,43.0,Good,43.0,2005,5,Summer
2005-05-09,38.9,60.0,29.3,11.7,1.33,42.6,41.0,Good,43.0,2005,5,Summer
2005-05-10,33.9,67.7,31.9,9.7,1.27,49.3,41.0,Good,43.0,2005,5,Summer
2005-05-11,40.5,71.9,34.6,8.4,1.46,51.5,45.0,Good,44.3,2005,5,Summer
2005-05-12,45.2,83.6,31.1,3.9,1.1,41.7,48.0,Good,44.4,2005,5,Summer
2005-05-13,32.0,54.5,31.0,10.4,1.38,49.2,37.0,Good,43.1,2005,5,Summer
2005-05-14,40.6,72.0,22.1,10.4,1.21,48.4,43.0,Good,42.6,2005,5,Summer
2005-05-15,41.6,82.1,36.3,11.1,1.37,47.7,48.0,Good,43.3,2005,5,Summer
2005-05-16,35.0,55.4,30.3,3.9,1.08,55.4,39.0,Good,43.0,2005,5,Summer
2005-05-17,35.9,59.1,32.0,8.9,1.13,45.3,40.0,Good,42.9,2005,5,Summer
2005-05-18,41.6,65.6,32.0,9.8,1.88,42.1,43.0,Good,42.6,2005,5,Summer
2005-05-19,32.1,60.8,27.9,10.9,1.12,47.2,38.0,Good,41.1,2005,5,Summer
2005-05-20,42.4,65.0,30.0,9.7,1.48,46.0,44.0,Good,42.1,2005,5,Summer
2005-05-21,33.7,52.0,27.9,8.6,1.22,51.4,37.0,Good,41.3,2005,5,Summer
2005-05-22,47.4,78.2,36.5,6.5,1.1,46.9,50.0,Good,41.6,2005,5,Summer
2005-05-23,56.4,99.0,22.1,8.3,1.37,48.2,57.0,Moderate,44.1,2005,5,Summer
2005-05-24,34.0,57.9,27.2,9.3,1.13,45.5,38.0,Good,43.9,2005,5,Summer
2005-05-25,43.7,66.6,29.7,10.1,1.48,35.5,44.0,Good,44.0,2005,5,Summer
2005-05-26,34.9,69.1,37.0,5.3,1.32,47.9,42.0,Good,44.6,2005,5,Summer
2005-05-27,47.3,93.5,33.8,9.1,1.68,52.9,53.0,Moderate,45.9,2005,5,Summer
2005-05-28,31.1,51.1,24.4,5.6,1.02,49.9,35.0,Good,45.6,2005,5,Summer
2005-05-29,43.4,80.9,30.5,9.0,1.42,39.4,47.0,Good,45.1,2005,5,Summer
2005-05-30,33.9,60.6,33.9,6.2,1.44,45.3,39.0,Good,42.6,2005,5,Summer
2005-05-31,38.6,62.4,39.9,5.6,1.1,45.8,43.0,Good,43.3,2005,5,Summer
2005-06-01,29.2,47.6,26.9,11.4,1.08,49.8,34.0,Good,41.9,2005,6,Southwest Monsoon
2005-06-02,42.2,73.6,23.6,5.0,0.89,47.7,44.0,Good,42.1,2005,6,Southwest Monsoon
2005-06-03,30.5,52.2,29.6,6.5,0.85,31.9,34.0,Good,39.4,2005,6,Southwest Monsoon
2005-06-04,40.3,66.3,28.1,7.7,1.22,41.8,42.0,Good,40.4,2005,6,Southwest Monsoon
2005-06-05,34.0,64.7,30.2,3.6,1.45,45.2,39.0,Good,39.3,2005,6,Southwest Monsoon
2005-06-06,35.6,62.0,31.1,9.3,1.21,43.7,40.0,Good,39.4,2005,6,Southwest Monsoon
2005-06-07,37.4,68.4,29.6,6.3,1.22,45.9,42.0,Good,39.3,2005,6,Southwest Monsoon
2005-06-08,31.1,49.5,30.4,5.7,0.92,44.5,35.0,Good,39.4,2005,6,Southwest Monsoon
2005-06-09,37.9,66.9,34.8,9.6,0.72,45.7,43.0,Good,39.3,2005,6,Southwest Monsoon
2005-06-10,47.1,78.2,27.1,5.1,1.33,50.8,49.0,Good,41.4,2005,6,Southwest Monsoon
2005-06-11,31.0,54.6,23.4,8.6,1.08,52.7,36.0,Good,40.6,2005,6,Southwest Monsoon
2005-06-12,44.6,84.3,29.6,7.8,0.79,46.0,49.0,Good,42.0,2005,6,Southwest Monsoon
2005-06-13,46.9,88.4,23.2,7.9,1.11,49.7,50.0,Good,43.4,2005,6,Southwest Monsoon
2005-06-14,30.7,51.5,23.8,7.6,1.31,48.8,34.0,Good,42.3,2005,6,Southwest Monsoon
2005-06-15,26.2,48.4,25.0,8.0,1.35,53.6,32.0,Good,41.9,2005,6,Southwest Monsoon
2005-06-16,38.5,75.9,23.3,3.2,1.29,50.0,43.0,Good,41.9,2005,6,Southwest Monsoon
2005-06-17,32.6,59.0,33.0,6.0,1.07,57.0,39.0,Good,40.4,2005,6,Southwest Monsoon
2005-06-18,49.5,77.9,28.5,5.9,1.39,50.1,50.0,Good,42.4,2005,6,Southwest Monsoon
2005-06-19,36.6,67.4,31.1,10.0,1.24,38.4,41.0,Good,41.3,2005,6,Southwest Monsoon
2005-06-20,30.8,47.8,30.3,8.1,1.03,53.2,35.0,Good,39.1,2005,6,Southwest Monsoon
2005-06-21,28.4,54.9,27.5,7.8,0.97,51.0,35.0,Good,39.3,2005,6,Southwest Monsoon
2005-06-22,44.0,77.4,32.1,11.5,1.29,50.9,48.0,Good,41.6,2005,6,Southwest Monsoon
2005-06-23,32.4,54.8,26.4,3.7,1.46,39.8,35.0,Good,40.4,2005,6,Southwest Monsoon
2005-06-24,36.7,56.1,27.6,10.6,1.39,51.7,39.0,Good,40.4,2005,6,Southwest Monsoon
2005-06-25,43.1,72.8,25.5,7.8,1.29,51.1,45.0,Good,39.7,2005,6,Southwest Monsoon
2005-06-26,33.0,64.4,33.9,6.2,1.4,39.1,39.0,Good,39.4,2005,6,Southwest Monsoon
2005-06-27,36.1,54.5,27.9,6.7,1.84,49.6,38.0,Good,39.9,2005,6,Southwest Monsoon
2005-06-28,36.3,63.0,30.7,6.8,1.32,47.5,40.0,Good,40.6,2005,6,Southwest Monsoon
2005-06-29,41.2,80.9,26.0,10.8,1.28,46.0,46.0,Good,40.3,2005,6,Southwest Monsoon
2005-06-30,40.5,68.8,31.7,8.2,1.38,45.4,44.0,Good,41.6,2005,6,Southwest Monsoon
2005-07-01,34.9,59.8,31.4,9.1,1.43,36.2,38.0,Good,41.4,2005,7,Southwest Monsoon
2005-07-02,36.8,65.9,21.8,6.3,0.91,45.3,40.0,Good,40.7,2005,7,Southwest Monsoon
2005-07-03,33.8,58.5,28.3,8.0,1.29,49.5,38.0,Good,40.6,2005,7,Southwest Monsoon
2005-07-04,26.1,41.3,28.8,9.6,1.5,41.4,30.0,Good,39.4,2005,7,Southwest Monsoon
2005-07-05,38.2,57.7,27.1,10.0,1.68,45.2,40.0,Good,39.4,2005,7,Southwest Monsoon
2005-07-06,49.6,89.6,33.8,5.1,1.25,42.8,52.0,Moderate,40.3,2005,7,Southwest Monsoon
2005-07-07,30.2,59.2,23.4,9.4,1.13,43.1,35.0,Good,39.0,2005,7,Southwest Monsoon
2005-07-08,31.0,48.1,26.5,7.5,1.29,36.0,33.0,Good,38.3,2005,7,Southwest Monsoon
2005-07-09,30.3,48.7,24.9,8.5,1.08,48.4,34.0,Good,37.4,2005,7,Southwest Monsoon
2005-07-10,41.5,69.9,32.4,6.7,1.64,45.1,44.0,Good,38.3,2005,7,Southwest Monsoon
2005-07-11,39.5,75.3,24.2,10.8,1.37,40.8,43.0,Good,40.1,2005,7,Southwest Monsoon
2005-07-12,35.3,57.7,21.0,8.3,1.23,50.8,38.0,Good,39.9,2005,7,Southwest Monsoon
2005-07-13,30.0,58.2,30.0,6.6,1.52,49.0,36.0,Good,37.6,2005,7,Southwest Monsoon
2005-07-14,37.0,56.6,27.7,6.8,0.96,44.2,39.0,Good,38.1,2005,7,Southwest Monsoon
2005-07-15,25.4,50.1,32.5,9.5,0.73,50.7,33.0,Good,38.1,2005,7,Southwest Monsoon
2005-07-16,37.4,66.6,31.5,9.2,1.35,52.3,42.0,Good,39.3,2005,7,Southwest Monsoon
2005-07-17,42.5,77.8,28.1,7.9,1.51,39.5,45.0,Good,39.4,2005,7,Southwest Monsoon
2005-07-18,27.6,46.5,22.5,7.0,1.21,38.6,31.0,Good,37.7,2005,7,Southwest Monsoon
2005-07-19,25.7,48.5,23.5,9.7,1.08,32.9,30.0,Good,36.6,2005,7,Southwest Monsoon
2005-07-20,47.5,75.1,21.2,6.7,1.01,40.4,46.0,Good,38.0,2005,7,Southwest Monsoon
2005-07-21,32.1,49.0,27.7,6.6,0.94,41.8,35.0,Good,37.4,2005,7,Southwest Monsoon
2005-07-22,44.4,75.3,25.7,12.8,1.41,35.5,45.0,Good,39.1,2005,7,Southwest Monsoon
2005-07-23,35.3,68.1,27.6,8.5,1.45,39.3,40.0,Good,38.9,2005,7,Southwest Monsoon
2005-07-24,35.3,66.2,29.0,7.6,1.47,47.1,40.0,Good,38.1,2005,7,Southwest Monsoon
2005-07-25,39.5,69.4,35.9,6.9,1.25,44.6,44.0,Good,40.0,2005,7,Southwest Monsoon
2005-07-26,30.2,54.0,30.6,7.3,0.96,39.4,35.0,Good,40.7,2005,7,Southwest Monsoon
2005-07-27,37.3,58.4,28.6,10.2,1.07,49.2,40.0,Good,39.9,2005,7,Southwest Monsoon
2005-07-28,33.7,64.8,22.0,9.4,1.39,36.2,37.0,Good,40.1,2005,7,Southwest Monsoon
2005-07-29,27.2,51.4,28.4,6.5,0.99,45.3,33.0,Good,38.4,2005,7,Southwest Monsoon
2005-07-30,38.8,70.9,31.8,7.1,1.22,41.5,43.0,Good,38.9,2005,7,Southwest Monsoon
2005-07-31,34.6,59.9,29.9,5.1,0.99,43.0,38.0,Good,38.6,2005,7,Southwest Monsoon
2005-08-01,35.3,70.0,24.1,8.3,1.07,43.9,40.0,Good,38.0,2005,8,Southwest Monsoon
2005-08-02,27.9,54.2,26.8,0.0,0.96,48.2,34.0,Good,37.9,2005,8,Southwest Monsoon
2005-08-03,47.5,86.6,28.6,4.7,1.25,45.6,50.0,Good,39.3,2005,8,Southwest Monsoon
2005-08-04,42.5,71.7,26.7,7.9,0.88,47.4,45.0,Good,40.4,2005,8,Southwest Monsoon
2005-08-05,43.1,78.1,25.8,2.5,1.05,36.7,45.0,Good,42.1,2005,8,Southwest Monsoon
2005-08-06,34.3,61.3,19.7,12.3,1.46,40.2,37.0,Good,41.3,2005,8,Southwest Monsoon
2005-08-07,24.3,41.2,25.2,6.0,1.51,36.8,28.0,Good,39.9,2005,8,Southwest Monsoon
2005-08-08,50.1,82.8,29.3,8.7,1.41,34.9,50.0,Good,41.3,2005,8,Southwest Monsoon
2005-08-09,36.0,61.3,31.8,10.3,1.6,45.8,40.0,Good,42.1,2005,8,Southwest Monsoon
2005-08-10,31.2,55.7,28.6,8.3,0.92,31.3,35.0,Good,40.0,2005,8,Southwest Monsoon
2005-08-11,39.3,67.4,32.5,7.7,1.22,38.0,42.0,Good,39.6,2005,8,Southwest Monsoon
2005-08-12,44.6,72.7,28.0,6.6,1.26,38.1,45.0,Good,39.6,2005,8,Southwest Monsoon
2005-08-13,36.2,68.1,24.8,5.1,1.73,39.6,40.0,Good,40.0,2005,8,Southwest Monsoon
2005-08-14,45.4,80.1,26.4,6.8,1.19,34.8,46.0,Good,42.6,2005,8,Southwest Monsoon
2005-08-15,44.0,67.5,30.3,8.0,1.45,36.7,44.0,Good,41.7,2005,8,Southwest Monsoon
2005-08-16,28.9,48.6,27.2,7.7,1.67,49.5,34.0,Good,40.9,2005,8,Southwest Monsoon
2005-08-17,31.7,61.5,25.7,5.8,1.28,38.8,36.0,Good,41.0,2005,8,Southwest Monsoon
2005-08-18,43.1,80.9,22.1,9.9,1.13,35.5,45.0,Good,41.4,2005,8,Southwest Monsoon
2005-08-19,17.4,28.9,24.7,4.9,1.15,40.9,23.0,Good,38.3,2005,8,Southwest Monsoon
2005-08-20,35.4,69.6,26.7,8.9,0.82,40.0,40.0,Good,38.3,2005,8,Southwest Monsoon
2005-08-21,26.4,40.6,26.0,9.5,1.13,49.1,31.0,Good,36.1,2005,8,Southwest Monsoon
2005-08-22,33.1,65.5,24.4,8.2,0.89,37.9,37.0,Good,35.1,2005,8,Southwest Monsoon
2005-08-23,34.3,55.7,34.5,11.1,1.44,41.6,38.0,Good,35.7,2005,8,Southwest Monsoon
2005-08-24,33.9,51.0,30.7,8.6,0.85,33.0,35.0,Good,35.6,2005,8,Southwest Monsoon
2005-08-25,32.5,55.9,37.1,10.5,1.34,35.3,37.0,Good,34.4,2005,8,Southwest Monsoon
2005-08-26,28.7,48.2,21.9,2.4,1.53,35.6,31.0,Good,35.6,2005,8,Southwest Monsoon
2005-08-27,52.4,92.8,29.6,9.6,1.43,31.1,53.0,Moderate,37.4,2005,8,Southwest Monsoon
2005-08-28,49.5,93.9,26.6,8.9,1.12,38.6,52.0,Moderate,40.4,2005,8,Southwest Monsoon
2005-08-29,28.3,54.3,28.4,8.8,1.44,39.5,34.0,Good,40.0,2005,8,Southwest Monsoon
2005-08-30,47.5,80.7,35.7,9.0,1.25,38.7,50.0,Good,41.7,2005,8,Southwest Monsoon
2005-08-31,33.6,57.6,21.3,6.8,1.13,29.9,35.0,Good,41.7,2005,8,Southwest Monsoon
2005-09-01,37.3,58.7,26.0,9.3,1.15,32.9,38.0,Good,41.9,2005,9,Southwest Monsoon
2005-09-02,36.0,54.8,25.3,11.3,1.36,35.6,37.0,Good,42.7,2005,9,Southwest Monsoon
2005-09-03,31.8,57.9,26.0,4.0,0.86,31.6,35.0,Good,40.1,2005,9,Southwest Monsoon
2005-09-04,43.3,66.3,19.9,10.1,1.12,27.1,41.0,Good,38.6,2005,9,Southwest Monsoon
2005-09-05,37.3,69.6,33.4,7.5,1.34,41.9,42.0,Good,39.7,2005,9,Southwest Monsoon
2005-09-06,33.1,58.5,33.6,6.4,1.12,44.5,38.0,Good,38.0,2005,9,Southwest Monsoon
2005-09-07,27.3,43.6,30.6,5.3,0.92,42.6,31.0,Good,37.4,2005,9,Southwest Monsoon
2005-09-08,30.1,53.3,22.9,8.5,1.02,38.1,33.0,Good,36.7,2005,9,Southwest Monsoon
2005-09-09,24.9,39.6,29.4,10.9,1.29,33.6,29.0,Good,35.6,2005,9,Southwest Monsoon
2005-09-10,36.5,62.7,31.8,7.0,1.37,47.2,41.0,Good,36.4,2005,9,Southwest Monsoon
2005-09-11,28.0,53.2,29.9,9.1,1.52,41.6,34.0,Good,35.4,2005,9,Southwest Monsoon
2005-09-12,34.5,59.8,28.1,7.7,1.44,32.0,37.0,Good,34.7,2005,9,Southwest Monsoon
2005-09-13,46.0,72.4,33.9,4.5,1.44,43.5,47.0,Good,36.0,2005,9,Southwest Monsoon
2005-09-14,44.8,83.4,25.5,7.4,0.76,36.6,47.0,Good,38.3,2005,9,Southwest Monsoon
2005-09-15,36.2,57.6,27.6,6.4,1.43,42.2,38.0,Good,39.0,2005,9,Southwest Monsoon
