year,ward,lat,lon,avg_temp,annual_rainfall,avg_aqi,ndvi,buildup_pct,flood_risk,health_risk,dengue_risk,population_den
2023,Vijayanagar,12.8504,77.54,29.19,1120.9,60.1,0.273,49.4,Low,High,High,16351.0
2023,Peenya,13.0245,77.5888,30.44,994.2,73.4,0.272,48.9,High,Moderate,High,23366.0
2023,Yeshwanthpur,13.0737,77.5291,30.61,824.1,78.9,0.291,58.5,High,High,Medium,19928.0
2023,Mahalakshmi Layout,12.8587,77.6352,29.79,864.5,75.4,0.224,54.7,Medium,High,Low,30097.0
2023,Basavanagudi,12.8923,77.6389,29.68,950.9,56.3,0.283,60.3,Low,Low,Low,34566.0
2023,Lalbagh,13.0593,77.5271,29.52,861.9,49.3,0.309,48.8,Medium,Severe,Medium,14588.0
2023,Richmond Town,12.8596,77.5522,29.7,945.3,67.6,0.297,46.7,Low,Severe,Low,12749.0
2023,Indiranagar,13.0269,77.5751,31.38,924.8,81.6,0.267,62.2,Medium,High,Medium,24542.0
2023,Whitefield,12.804,77.546,28.96,931.8,51.6,0.348,46.5,Low,Severe,Medium,14998.0
2023,Marathahalli,12.9149,77.7171,29.89,1064.0,68.2,0.27,51.6,Low,High,Low,15336.0
2023,Electronic City,13.0368,77.4413,29.21,907.7,75.3,0.339,55.3,High,Moderate,High,13777.0
2023,HSR Layout,12.9363,77.76,29.09,986.6,60.3,0.329,54.8,High,Low,High,18270.0
2023,Bommanahalli,12.7427,77.5263,28.57,1024.4,60.3,0.351,40.2,Medium,Moderate,Medium,13924.0
2023,Bellandur,12.9128,77.7008,29.93,957.6,60.6,0.337,52.7,Medium,Moderate,High,22421.0
2023,KR Puram,12.8609,77.7718,29.17,1039.3,52.6,0.343,48.2,Medium,Moderate,Medium,12907.0
2024,Yelahanka,12.7991,77.4241,28.97,1021.1,51.3,0.358,52.9,Medium,High,Low,20698.0
2024,Hebbal,13.0119,77.3832,28.72,949.8,56.7,0.37,48.9,Low,Low,Low,33640.0
2024,Sadashivanagar,13.1576,77.3993,29.03,965.4,63.0,0.363,46.9,Low,Severe,High,14919.0
2024,Rajajinagar,13.0234,77.8009,28.44,875.8,70.0,0.397,48.2,Low,High,Low,23624.0
2024,Malleswaram,12.8896,77.7123,30.37,904.7,74.4,0.295,57.0,High,Moderate,Low,26824.0
2024,Shivajinagar,13.047,77.7967,28.88,911.3,74.4,0.368,41.6,High,Low,Medium,22384.0
2024,Cubbon Park,12.7971,77.4301,28.9,924.3,59.0,0.346,44.9,Medium,High,High,32073.0
2024,MG Road,12.9891,77.6326,31.28,905.4,77.4,0.266,65.4,High,High,High,29821.0
2024,Koramangala,12.9405,77.4161,28.77,928.2,47.7,0.353,50.5,Low,High,Medium,14584.0
2024,BTM Layout,12.8924,77.391,29.97,842.9,63.0,0.345,50.8,Medium,Moderate,Medium,13727.0
2024,Jayanagar,13.0592,77.5863,30.58,880.3,82.9,0.246,57.1,Low,Low,Low,27442.0
2024,JP Nagar,12.7863,77.6663,29.19,815.6,62.1,0.328,43.9,Medium,Severe,Low,10512.0
2024,Banashankari,12.9683,77.4073,29.39,1070.8,57.5,0.375,45.2,Medium,High,Medium,26977.0
2024,Kengeri,13.1096,77.5413,29.83,942.0,73.3,0.328,55.9,Low,Moderate,Low,13842.0
2024,RR Nagar,12.8228,77.4192,28.2,962.7,72.1,0.345,49.5,Low,High,Low,17744.0
2024,Vijayanagar,12.8504,77.54,30.13,909.5,82.1,0.311,55.6,Low,High,High,33490.0
2024,Peenya,13.0245,77.5888,30.32,848.1,76.1,0.26,58.1,Medium,Moderate,Low,14817.0
2024,Yeshwanthpur,13.0737,77.5291,30.6,975.4,64.6,0.33,57.5,High,Low,Low,12028.0
2024,Mahalakshmi Layout,12.8587,77.6352,29.67,923.8,73.5,0.296,55.9,High,Moderate,High,18270.0
2024,Basavanagudi,12.8923,77.6389,29.73,1006.4,66.7,0.253,54.3,High,Low,High,33923.0
2024,Lalbagh,13.0593,77.5271,30.86,1029.2,63.8,0.275,59.1,High,Low,Low,8072.0
2024,Richmond Town,12.8596,77.5522,30.24,847.8,72.6,0.291,58.8,High,High,High,31209.0
2024,Indiranagar,13.0269,77.5751,31.12,975.2,72.8,0.313,51.4,Low,Severe,Low,22703.0
2024,Whitefield,12.804,77.546,28.92,845.1,45.8,0.335,50.3,Low,High,High,28222.0
2024,Marathahalli,12.9149,77.7171,29.51,922.2,77.9,0.338,50.7,High,Severe,Medium,10172.0
2024,Electronic City,13.0368,77.4413,28.36,1032.4,66.6,0.315,55.9,Low,Moderate,High,30571.0
2024,HSR Layout,12.9363,77.76,28.38,860.6,78.7,0.326,52.2,Low,Severe,High,25591.0
2024,Bommanahalli,12.7427,77.5263,29.14,993.8,56.8,0.313,46.4,Medium,Low,Medium,17395.0
2024,Bellandur,12.9128,77.7008,29.67,1053.2,73.9,0.277,53.8,Medium,Low,Medium,10378.0
2024,KR Puram,12.8609,77.7718,28.61,949.4,65.0,0.358,40.1,Low,Severe,Medium,9464.0
2025,Yelahanka,12.7991,77.4241,28.31,937.1,49.2,0.35,53.7,Low,High,Medium,31783.0
2025,Hebbal,13.0119,77.3832,29.13,930.7,60.2,0.313,43.5,High,Moderate,Medium,22873.0
2025,Sadashivanagar,13.1576,77.3993,28.79,938.6,82.1,0.347,47.6,Low,Severe,High,15880.0
2025,Rajajinagar,13.0234,77.8009,29.06,927.1,50.0,0.316,50.6,Medium,Moderate,Medium,13146.0
2025,Malleswaram,12.8896,77.7123,29.11,872.5,68.7,0.32,55.3,Medium,High,Low,15637.0
2025,Shivajinagar,13.047,77.7967,28.03,918.0,72.7,0.385,50.0,Low,Severe,High,21077.0
2025,Cubbon Park,12.7971,77.4301,28.58,1067.9,43.3,0.399,59.6,Low,Severe,Low,31112.0
2025,MG Road,12.9891,77.6326,29.97,890.7,80.6,0.185,61.9,Medium,Severe,High,29395.0
2025,Koramangala,12.9405,77.4161,29.16,912.5,67.7,0.33,56.0,Low,Severe,Low,22201.0
2025,BTM Layout,12.8924,77.391,28.9,826.6,64.3,0.313,53.9,Low,Low,Medium,29101.0
2025,Jayanagar,13.0592,77.5863,30.38,1061.3,68.3,0.285,53.7,High,Severe,Medium,24924.0
2025,JP Nagar,12.7863,77.6663,29.77,1020.4,53.4,0.304,48.8,Low,High,Low,28163.0
2025,Banashankari,12.9683,77.4073,29.04,964.7,48.5,0.292,44.0,Low,Low,Medium,29496.0
2025,Kengeri,13.1096,77.5413,29.99,929.1,75.1,0.336,58.5,High,Moderate,Low,12727.0
2025,RR Nagar,12.8228,77.4192,28.62,900.1,55.2,0.318,46.9,High,High,Medium,14894.0
2025,Vijayanagar,12.8504,77.54,29.72,1094.3,68.3,0.341,50.2,Low,Low,Medium,33521.0
2025,Peenya,13.0245,77.5888,31.28,944.8,89.8,0.246,55.2,Medium,Severe,Low,14405.0
2025,Yeshwanthpur,13.0737,77.5291,30.16,855.9,62.6,0.323,55.0,High,Severe,Medium,8219.0
2025,Mahalakshmi Layout,12.8587,77.6352,30.63,845.9,90.2,0.286,55.0,Medium,Moderate,High,29652.0
2025,Basavanagudi,12.8923,77.6389,29.47,960.1,77.7,0.279,65.4,High,Moderate,High,10623.0
2025,Lalbagh,13.0593,77.5271,30.07,933.7,70.0,0.284,54.1,Medium,High,High,19219.0
2025,Richmond Town,12.8596,77.5522,30.26,992.8,85.2,0.317,52.0,High,High,Low,14938.0
2025,Indiranagar,13.0269,77.5751,31.06,868.2,80.1,0.214,57.7,Low,Moderate,Low,31224.0
2025,Whitefield,12.804,77.546,29.62,913.9,35.7,0.383,50.2,Medium,Low,Medium,8376.0
2025,Marathahalli,12.9149,77.7171,29.34,929.9,60.1,0.266,46.4,Medium,Low,High,14313.0
2025,Electronic City,13.0368,77.4413,29.03,1114.1,67.3,0.263,48.3,Low,Low,High,30244.0
2025,HSR Layout,12.9363,77.76,29.83,913.4,59.2,0.335,56.4,Medium,Low,Low,14340.0
2025,Bommanahalli,12.7427,77.5263,28.86,872.8,57.7,0.299,58.8,High,Severe,High,28041.0
2025,Bellandur,12.9128,77.7008,30.34,1018.4,77.8,0.318,44.9,Low,High,Low,19971.0
2025,KR Puram,12.8609,77.7718,29.67,1099.8,54.0,0.387,54.4,High,High,Low,18750.0
2026,Yelahanka,12.7991,77.4241,29.09,988.0,66.4,0.323,46.3,High,Low,Low,29243.0
2026,Hebbal,13.0119,77.3832,28.39,951.7,65.2,0.34,49.3,High,Moderate,High,13831.0
2026,Sadashivanagar,13.1576,77.3993,29.3,897.9,72.9,0.402,59.9,Low,Moderate,High,14768.0
2026,Rajajinagar,13.0234,77.8009,29.02,1003.8,73.1,0.355,50.1,Low,High,Low,12705.0
2026,Malleswaram,12.8896,77.7123,30.56,992.6,49.9,0.303,45.3,High,Low,Medium,21604.0
2026,Shivajinagar,13.047,77.7967,29.13,972.4,59.0,0.362,40.2,High,High,Medium,25370.0
2026,Cubbon Park,12.7971,77.4301,30.78,1006.4,66.1,0.324,56.1,Medium,Low,Low,16697.0
2026,MG Road,12.9891,77.6326,31.49,974.8,80.2,0.222,55.3,High,High,Medium,34855.0
2026,Koramangala,12.9405,77.4161,28.79,933.2,59.0,0.325,48.7,High,Moderate,Medium,20192.0
2026,BTM Layout,12.8924,77.391,28.07,959.8,69.0,0.32,51.5,Low,High,Medium,16438.0
2026,Jayanagar,13.0592,77.5863,30.41,1148.1,67.2,0.246,59.0,Medium,Low,High,27947.0
2026,JP Nagar,12.7863,77.6663,29.23,988.6,49.1,0.311,47.3,Medium,Low,Medium,17547.0
2026,Banashankari,12.9683,77.4073,28.83,835.1,72.8,0.302,57.9,Medium,Low,High,21700.0
2026,Kengeri,13.1096,77.5413,29.59,1001.7,75.3,0.33,49.8,High,High,Low,28590.0
2026,RR Nagar,12.8228,77.4192,28.19,884.8,75.3,0.283,52.9,High,Low,High,33085.0
2026,Vijayanagar,12.8504,77.54,29.28,980.2,60.3,0.325,61.6,Medium,High,Medium,8165.0
2026,Peenya,13.0245,77.5888,31.3,874.6,70.4,0.267,58.5,High,Moderate,Medium,19335.0
2026,Yeshwanthpur,13.0737,77.5291,29.95,908.4,76.4,0.289,46.7,High,Low,Low,12201.0
2026,Mahalakshmi Layout,12.8587,77.6352,30.06,924.4,77.9,0.313,49.2,Medium,High,Low,28383.0
2026,Basavanagudi,12.8923,77.6389,30.72,1014.0,78.2,0.27,64.4,Medium,High,Low,13954.0
2026,Lalbagh,13.0593,77.5271,30.34,947.4,76.2,0.361,56.8,Medium,High,Low,8209.0
2026,Richmond Town,12.8596,77.5522,29.22,949.1,62.3,0.263,60.6,High,High,Low,18721.0
2026,Indiranagar,13.0269,77.5751,30.77,864.5,70.5,0.263,56.9,Medium,Severe,Medium,11110.0
2026,Whitefield,12.804,77.546,29.89,1020.3,64.4,0.343,45.4,High,High,Low,19791.0
2026,Marathahalli,12.9149,77.7171,30.3,1002.8,63.8,0.313,60.1,Low,High,Low,10062.0
2026,Electronic City,13.0368,77.4413,28.9,884.1,54.9,0.343,60.6,Medium,Moderate,Low,10776.0
2026,HSR Layout,12.9363,77.76,29.46,999.4,73.4,0.368,63.3,High,Severe,Medium,28370.0
2026,Bommanahalli,12.7427,77.5263,29.56,955.4,49.1,0.384,47.0,High,High,High,16536.0
2026,Bellandur,12.9128,77.7008,29.52,983.3,56.2,0.259,51.3,Low,High,Medium,20202.0
2026,KR Puram,12.8609,77.7718,28.75,1091.5,66.6,0.403,54.6,Low,Severe,Medium,23669.0
