date,temperature_max,temperature_min,temperature_mean,rainfall,wind_speed,apparent_temp,humidity,pressure,solar,year,month,day,doy,season
2005-02-03,26.7,18.5,21.9,0.0,15.5,22.6,68.34,970.0,4.573,2005,2,3,34,Winter
2005-02-04,26.5,18.1,21.9,0.0,15.9,22.6,72.26,970.0,4.2233,2005,2,4,35,Winter
2005-02-05,28.3,17.9,22.6,0.0,17.1,23.1,64.48,970.0,5.0386,2005,2,5,36,Winter
2005-02-06,29.1,16.3,22.5,0.0,17.0,22.6,57.0,970.0,5.3743,2005,2,6,37,Winter
2005-02-07,29.7,15.9,22.2,0.0,15.6,20.0,46.83,970.0,6.8016,2005,2,7,38,Winter
2005-02-08,29.1,13.6,20.8,0.0,15.5,19.4,55.1,970.0,6.9206,2005,2,8,39,Winter
2005-02-09,29.5,13.7,21.0,0.0,20.7,19.3,53.48,970.0,6.8388,2005,2,9,40,Winter
2005-02-10,29.9,14.9,21.8,0.0,21.3,19.5,46.55,970.0,6.8878,2005,2,10,41,Winter
2005-02-11,30.1,12.9,21.7,0.0,18.2,19.7,46.63,970.0,6.8174,2005,2,11,42,Winter
2005-02-12,30.6,14.2,22.1,0.0,20.9,19.3,41.91,970.0,7.0308,2005,2,12,43,Winter
2005-02-13,31.1,13.0,22.2,0.0,18.0,18.9,32.88,970.0,7.1177,2005,2,13,44,Winter
2005-02-14,32.7,12.9,23.2,0.0,14.8,19.9,25.59,970.0,7.223,2005,2,14,45,Winter
2005-02-15,33.5,14.8,24.5,0.0,11.4,22.0,28.34,970.0,7.0406,2005,2,15,46,Winter
2005-02-16,33.6,17.0,25.4,0.0,9.5,23.7,24.97,970.0,6.9722,2005,2,16,47,Winter
2005-02-17,33.2,16.9,25.4,0.0,11.3,23.9,26.75,970.0,6.9041,2005,2,17,48,Winter
2005-02-18,32.8,17.5,25.4,0.0,13.2,23.6,31.77,970.0,6.9427,2005,2,18,49,Winter
2005-02-19,32.5,18.6,25.0,0.0,17.1,23.3,34.07,970.0,7.081,2005,2,19,50,Winter
2005-02-20,31.7,16.5,24.0,0.0,16.2,21.6,35.63,970.0,6.7994,2005,2,20,51,Winter
2005-02-21,31.1,16.2,23.6,0.0,15.1,21.8,45.79,970.0,6.9058,2005,2,21,52,Winter
2005-02-22,30.1,18.2,23.7,0.0,14.1,24.6,54.59,970.0,5.2258,2005,2,22,53,Winter
2005-02-23,30.4,20.1,24.8,0.1,15.0,25.9,54.15,970.0,6.0331,2005,2,23,54,Winter
2005-02-24,31.4,19.4,25.2,0.0,14.7,25.4,51.86,970.0,6.0106,2005,2,24,55,Winter
2005-02-25,32.3,18.1,25.3,0.0,14.3,24.3,38.79,970.0,6.9694,2005,2,25,56,Winter
2005-02-26,32.0,18.4,25.2,0.0,17.4,23.7,37.54,970.0,6.997,2005,2,26,57,Winter
2005-02-27,31.8,17.5,24.5,0.0,15.0,21.8,31.38,970.0,7.2245,2005,2,27,58,Winter
2005-02-28,31.8,16.9,24.4,0.0,17.1,21.6,28.55,970.0,7.4431,2005,2,28,59,Winter
2005-03-01,31.8,17.1,24.5,0.0,17.7,22.4,41.77,970.0,7.2648,2005,3,1,60,Summer
2005-03-02,32.1,15.9,24.2,0.0,15.6,22.8,41.98,970.0,7.248,2005,3,2,61,Summer
2005-03-03,32.5,16.2,24.4,0.0,14.8,23.2,44.15,970.0,7.3025,2005,3,3,62,Summer
2005-03-04,32.6,16.3,24.6,0.0,14.2,23.6,44.88,970.0,7.169,2005,3,4,63,Summer
2005-03-05,32.6,17.6,25.2,0.0,17.2,25.5,51.78,970.0,6.2659,2005,3,5,64,Summer
2005-03-06,30.9,19.8,25.0,0.1,12.6,26.3,50.48,970.0,5.1106,2005,3,6,65,Summer
2005-03-07,32.0,20.5,25.7,0.0,13.0,26.6,45.98,970.0,5.9393,2005,3,7,66,Summer
2005-03-08,31.6,19.4,25.0,0.0,16.3,25.5,54.96,970.0,6.1361,2005,3,8,67,Summer
2005-03-09,31.2,19.7,24.9,0.1,12.7,26.0,54.44,970.0,5.7372,2005,3,9,68,Summer
2005-03-10,30.6,20.1,24.3,4.0,10.6,26.2,54.54,970.0,5.6554,2005,3,10,69,Summer
2005-03-11,32.1,19.3,25.5,0.1,12.0,27.0,55.47,970.0,6.2662,2005,3,11,70,Summer
2005-03-12,31.3,20.3,25.7,0.0,10.5,27.0,53.44,970.0,6.1198,2005,3,12,71,Summer
2005-03-13,31.9,20.1,25.4,0.0,17.7,26.3,49.16,970.0,6.4202,2005,3,13,72,Summer
2005-03-14,33.1,19.6,25.5,0.2,13.7,26.0,48.02,970.0,6.7284,2005,3,14,73,Summer
2005-03-15,33.4,19.9,26.1,0.0,13.3,26.3,49.4,970.0,6.5988,2005,3,15,74,Summer
2005-03-16,32.8,18.6,25.7,0.0,15.9,25.6,45.95,970.0,7.1774,2005,3,16,75,Summer
2005-03-17,32.6,18.5,25.3,0.0,18.4,24.2,39.69,970.0,7.2869,2005,3,17,76,Summer
2005-03-18,32.8,16.8,25.1,0.0,20.2,23.7,36.08,970.0,7.5934,2005,3,18,77,Summer
2005-03-19,33.4,17.2,25.4,0.0,19.5,23.2,32.25,970.0,7.6236,2005,3,19,78,Summer
2005-03-20,32.5,16.6,24.9,0.0,12.2,23.6,42.22,970.0,7.6044,2005,3,20,79,Summer
2005-03-21,34.3,17.5,26.1,0.0,11.6,25.5,39.8,970.0,7.5672,2005,3,21,80,Summer
2005-03-22,34.8,19.3,27.1,0.0,11.5,26.9,36.21,970.0,7.1244,2005,3,22,81,Summer
2005-03-23,32.4,21.2,27.1,0.0,12.7,27.5,35.88,970.0,6.5098,2005,3,23,82,Summer
2005-03-24,33.7,22.2,27.9,0.0,12.1,28.1,33.32,970.0,7.2449,2005,3,24,83,Summer
2005-03-25,34.4,21.6,28.1,0.0,14.1,28.4,33.1,970.0,7.2518,2005,3,25,84,Summer
2005-03-26,34.0,20.4,27.5,0.0,10.0,27.7,29.74,970.0,6.9691,2005,3,26,85,Summer
2005-03-27,32.1,21.5,27.2,0.0,13.9,28.0,40.9,970.0,6.119,2005,3,27,86,Summer
2005-03-28,33.7,22.1,27.8,0.0,10.6,28.7,37.65,970.0,6.4951,2005,3,28,87,Summer
2005-03-29,33.6,21.9,27.8,0.0,11.8,28.3,31.41,970.0,5.0604,2005,3,29,88,Summer
2005-03-30,33.6,21.0,27.4,0.0,9.8,29.0,32.3,970.0,6.7747,2005,3,30,89,Summer
2005-03-31,31.9,22.3,27.3,0.0,12.4,28.6,44.67,970.0,5.1602,2005,3,31,90,Summer
2005-04-01,32.1,21.8,26.7,1.4,7.6,28.4,45.63,970.0,5.8006,2005,4,1,91,Summer
2005-04-02,33.0,21.4,27.1,0.0,16.2,27.6,44.4,970.0,6.9595,2005,4,2,92,Summer
2005-04-03,32.0,20.2,25.5,0.0,21.4,26.3,59.03,970.0,6.3269,2005,4,3,93,Summer
2005-04-04,27.9,19.6,23.7,0.2,17.7,25.2,65.62,970.0,3.8755,2005,4,4,94,Summer
2005-04-05,25.5,20.6,22.1,9.4,19.6,23.8,73.04,970.0,3.8266,2005,4,5,95,Summer
2005-04-06,27.9,19.4,22.8,8.7,10.9,25.1,78.06,970.0,4.3145,2005,4,6,96,Summer
2005-04-07,28.0,20.2,23.5,6.1,9.4,26.4,77.51,970.0,4.2403,2005,4,7,97,Summer
2005-04-08,29.8,19.9,24.7,0.0,15.2,26.7,64.27,970.0,6.1469,2005,4,8,98,Summer
2005-04-09,30.3,20.1,24.4,0.8,10.5,26.8,64.3,970.0,5.9892,2005,4,9,99,Summer
2005-04-10,30.3,20.8,25.0,0.0,14.3,27.7,66.11,970.0,5.903,2005,4,10,100,Summer
2005-04-11,29.8,21.0,23.7,15.9,8.7,27.2,69.82,970.0,6.3108,2005,4,11,101,Summer
2005-04-12,29.2,20.6,24.2,1.8,9.7,27.5,67.62,970.0,5.9244,2005,4,12,102,Summer
2005-04-13,30.0,20.4,24.8,0.2,9.9,27.6,67.77,970.0,6.169,2005,4,13,103,Summer
2005-04-14,30.7,20.2,25.3,0.2,7.2,28.1,63.43,970.0,6.0883,2005,4,14,104,Summer
2005-04-15,31.1,20.3,25.7,0.0,9.3,27.9,62.41,970.0,7.151,2005,4,15,105,Summer
2005-04-16,32.3,19.6,25.9,0.0,11.5,27.4,56.99,970.0,6.9979,2005,4,16,106,Summer
2005-04-17,32.9,19.5,26.1,0.0,13.3,26.6,51.92,970.0,7.5552,2005,4,17,107,Summer
2005-04-18,33.6,20.8,26.7,0.0,14.5,26.8,54.84,970.0,7.3966,2005,4,18,108,Summer
2005-04-19,33.5,19.1,26.4,0.0,13.8,26.9,54.13,970.0,7.223,2005,4,19,109,Summer
2005-04-20,32.3,19.9,25.5,0.3,16.9,26.5,66.3,970.0,6.594,2005,4,20,110,Summer
2005-04-21,32.6,20.0,25.8,0.0,13.8,27.3,59.06,970.0,7.0812,2005,4,21,111,Summer
2005-04-22,33.5,20.6,26.7,0.0,14.5,28.1,58.36,970.0,6.9936,2005,4,22,112,Summer
2005-04-23,33.9,21.1,27.4,0.0,13.9,28.7,53.61,970.0,6.8702,2005,4,23,113,Summer
2005-04-24,33.5,22.2,27.3,0.0,9.3,28.7,61.22,970.0,6.3134,2005,4,24,114,Summer
2005-04-25,32.2,21.8,26.5,0.3,10.9,28.4,56.7,970.0,5.6239,2005,4,25,115,Summer
2005-04-26,33.6,21.4,26.5,1.1,9.9,29.4,62.03,970.0,6.4486,2005,4,26,116,Summer
2005-04-27,32.4,21.2,25.0,17.0,7.4,28.4,66.01,970.0,6.1738,2005,4,27,117,Summer
2005-04-28,32.7,21.0,26.1,0.6,8.9,29.0,58.16,970.0,6.7822,2005,4,28,118,Summer
2005-04-29,32.2,20.5,26.5,0.0,8.9,28.7,57.77,970.0,7.0793,2005,4,29,119,Summer
2005-04-30,33.8,21.6,27.6,0.0,13.7,29.2,56.94,970.0,6.7584,2005,4,30,120,Summer
2005-05-01,32.7,21.9,27.0,0.0,10.9,28.8,59.06,970.0,7.0296,2005,5,1,121,Summer
2005-05-02,32.1,20.4,26.1,0.0,17.5,28.0,67.57,970.0,6.461,2005,5,2,122,Summer
2005-05-03,31.8,21.8,26.0,0.0,11.9,27.9,63.98,970.0,6.4301,2005,5,3,123,Summer
2005-05-04,31.6,20.9,25.8,1.5,7.5,28.0,70.55,970.0,6.1135,2005,5,4,124,Summer
2005-05-05,29.5,20.9,24.2,1.8,8.8,26.7,68.85,970.0,5.8109,2005,5,5,125,Summer
2005-05-06,30.9,20.9,25.8,0.0,9.2,27.3,62.81,970.0,6.7726,2005,5,6,126,Summer
2005-05-07,31.4,20.6,26.4,0.0,8.3,27.9,60.3,970.0,6.8278,2005,5,7,127,Summer
2005-05-08,32.4,21.5,27.3,0.0,12.1,28.2,61.87,970.0,6.5376,2005,5,8,128,Summer
2005-05-09,32.7,21.9,26.0,2.8,15.0,27.6,59.22,970.0,4.9044,2005,5,9,129,Summer
2005-05-10,33.7,21.9,26.1,5.1,15.5,28.1,60.5,970.0,6.8998,2005,5,10,130,Summer
2005-05-11,31.8,20.9,25.9,0.8,13.7,28.2,61.73,970.0,4.7755,2005,5,11,131,Summer
2005-05-12,33.6,22.2,26.5,2.6,10.0,29.0,60.48,970.0,6.805,2005,5,12,132,Summer
2005-05-13,31.1,21.3,25.6,4.5,13.5,28.1,58.59,970.0,6.3348,2005,5,13,133,Summer
2005-05-14,34.0,21.5,27.6,0.0,17.4,29.1,44.83,970.0,7.0032,2005,5,14,134,Summer
2005-05-15,34.4,21.2,27.5,0.0,14.9,28.8,43.71,970.0,7.0625,2005,5,15,135,Summer
2005-05-16,33.9,21.1,27.4,0.0,14.5,28.5,51.15,970.0,7.434,2005,5,16,136,Summer
2005-05-17,34.0,21.1,27.6,0.0,15.1,28.8,46.88,970.0,7.3805,2005,5,17,137,Summer
2005-05-18,33.9,21.9,27.8,0.0,13.7,29.3,44.79,970.0,7.1011,2005,5,18,138,Summer
2005-05-19,34.4,22.4,28.6,0.0,9.7,30.0,43.26,970.0,7.2202,2005,5,19,139,Summer
2005-05-20,34.4,22.6,28.5,0.0,9.6,30.2,43.6,970.0,7.0574,2005,5,20,140,Summer
2005-05-21,34.2,22.3,28.3,0.0,14.2,30.1,52.58,970.0,6.9046,2005,5,21,141,Summer
2005-05-22,34.2,22.0,27.4,1.3,8.5,30.0,67.47,970.0,6.0598,2005,5,22,142,Summer
2005-05-23,32.9,22.3,26.8,4.9,9.7,29.8,71.36,970.0,6.9473,2005,5,23,143,Summer
2005-05-24,32.1,22.1,25.8,7.4,9.9,29.1,68.53,970.0,6.8978,2005,5,24,144,Summer
2005-05-25,31.8,21.7,25.8,9.8,12.1,29.2,73.1,970.0,6.3854,2005,5,25,145,Summer
2005-05-26,32.4,20.9,25.1,8.6,11.2,28.7,72.68,970.0,6.587,2005,5,26,146,Summer
2005-05-27,30.7,21.2,24.2,18.3,10.1,27.7,80.86,970.0,5.9266,2005,5,27,147,Summer
2005-05-28,30.1,20.9,24.3,11.5,10.3,27.7,75.37,970.0,6.6336,2005,5,28,148,Summer
2005-05-29,29.2,20.6,23.9,4.5,14.8,26.7,79.66,970.0,6.4877,2005,5,29,149,Summer
2005-05-30,28.2,20.4,23.4,15.1,12.6,26.7,77.75,970.0,4.6385,2005,5,30,150,Summer
2005-05-31,28.8,20.7,23.9,4.6,10.8,27.0,77.85,970.0,5.4864,2005,5,31,151,Summer
2005-06-01,28.6,21.0,24.0,4.8,17.8,26.4,81.03,970.0,6.4231,2005,6,1,152,Southwest Monsoon
2005-06-02,28.6,20.5,23.8,5.1,19.4,25.9,85.04,970.0,6.4327,2005,6,2,153,Southwest Monsoon
2005-06-03,29.9,20.5,24.2,5.9,16.9,26.8,83.65,970.0,6.1997,2005,6,3,154,Southwest Monsoon
2005-06-04,30.6,21.1,25.1,9.8,15.3,28.1,79.67,970.0,6.4411,2005,6,4,155,Southwest Monsoon
2005-06-05,29.2,21.3,24.2,11.1,12.6,27.7,80.18,970.0,4.8413,2005,6,5,156,Southwest Monsoon
2005-06-06,28.9,20.6,23.8,2.8,13.0,27.0,77.81,970.0,5.7007,2005,6,6,157,Southwest Monsoon
2005-06-07,28.9,20.9,24.3,1.4,15.3,26.9,78.85,970.0,6.708,2005,6,7,158,Southwest Monsoon
2005-06-08,27.8,20.5,23.2,9.9,14.1,25.7,77.81,970.0,5.977,2005,6,8,159,Southwest Monsoon
2005-06-09,28.2,20.9,23.3,11.8,14.5,25.8,84.96,970.0,5.0033,2005,6,9,160,Southwest Monsoon
2005-06-10,27.6,20.7,23.0,9.5,19.3,25.0,84.36,970.0,4.0949,2005,6,10,161,Southwest Monsoon
2005-06-11,28.6,19.9,23.9,0.5,20.9,25.2,81.41,970.0,6.2544,2005,6,11,162,Southwest Monsoon
2005-06-12,28.8,20.3,24.2,0.0,19.0,25.4,75.27,970.0,6.6761,2005,6,12,163,Southwest Monsoon
2005-06-13,29.4,19.9,23.9,5.7,16.8,26.1,75.13,970.0,6.7819,2005,6,13,164,Southwest Monsoon
2005-06-14,28.5,20.6,24.2,0.0,17.0,26.1,85.4,970.0,5.9047,2005,6,14,165,Southwest Monsoon
2005-06-15,29.2,19.9,24.4,0.0,13.7,26.6,75.39,970.0,6.474,2005,6,15,166,Southwest Monsoon
2005-06-16,29.1,20.1,24.4,0.0,16.9,26.3,73.86,970.0,6.8381,2005,6,16,167,Southwest Monsoon
2005-06-17,27.9,20.7,24.0,0.4,23.7,24.9,77.05,970.0,5.9621,2005,6,17,168,Southwest Monsoon
2005-06-18,26.0,20.3,22.8,2.8,25.5,23.5,76.81,970.0,4.8701,2005,6,18,169,Southwest Monsoon
2005-06-19,27.2,20.2,23.3,0.0,24.9,23.5,77.28,970.0,4.9824,2005,6,19,170,Southwest Monsoon
2005-06-20,26.4,20.8,22.7,1.7,23.9,23.1,77.68,970.0,4.0567,2005,6,20,171,Southwest Monsoon
2005-06-21,25.6,19.9,21.7,15.2,28.9,22.0,77.53,970.0,3.8489,2005,6,21,172,Southwest Monsoon
2005-06-22,24.6,19.8,21.5,7.3,22.7,22.0,73.68,970.0,3.9533,2005,6,22,173,Southwest Monsoon
2005-06-23,26.4,19.8,22.3,0.0,25.2,22.4,72.88,970.0,5.1346,2005,6,23,174,Southwest Monsoon
2005-06-24,27.1,20.1,23.0,0.6,24.9,23.6,77.2,970.0,5.2032,2005,6,24,175,Southwest Monsoon
2005-06-25,26.8,20.3,23.1,0.1,24.9,23.2,77.68,970.0,4.9958,2005,6,25,176,Southwest Monsoon
2005-06-26,26.5,20.6,23.0,0.1,27.3,23.0,78.28,970.0,4.7434,2005,6,26,177,Southwest Monsoon
2005-06-27,27.0,20.9,23.3,0.2,28.3,23.1,78.75,970.0,4.6152,2005,6,27,178,Southwest Monsoon
2005-06-28,25.6,20.4,22.6,0.0,30.3,22.1,78.47,970.0,4.0694,2005,6,28,179,Southwest Monsoon
2005-06-29,26.3,20.1,22.9,0.0,28.7,22.5,76.05,970.0,4.1897,2005,6,29,180,Southwest Monsoon
2005-06-30,26.2,20.0,22.4,6.4,26.9,22.5,79.73,970.0,4.314,2005,6,30,181,Southwest Monsoon
2005-07-01,26.4,20.3,22.8,0.6,27.0,22.8,78.69,970.0,3.0305,2005,7,1,182,Southwest Monsoon
2005-07-02,26.7,20.0,23.0,0.4,26.4,22.8,77.37,970.0,5.3062,2005,7,2,183,Southwest Monsoon
2005-07-03,27.4,19.8,22.9,0.3,25.6,23.0,76.73,970.0,5.4154,2005,7,3,184,Southwest Monsoon
2005-07-04,27.3,19.3,22.8,0.4,26.8,22.6,79.25,970.0,5.0606,2005,7,4,185,Southwest Monsoon
2005-07-05,26.9,20.3,22.8,1.5,30.8,22.6,74.18,970.0,4.5461,2005,7,5,186,Southwest Monsoon
2005-07-06,27.2,20.6,23.2,0.9,29.2,23.0,74.57,970.0,4.2804,2005,7,6,187,Southwest Monsoon
2005-07-07,26.9,20.8,23.3,0.5,25.3,23.4,74.74,970.0,4.8394,2005,7,7,188,Southwest Monsoon
2005-07-08,27.6,20.3,23.7,0.2,22.7,24.0,78.08,970.0,4.4294,2005,7,8,189,Southwest Monsoon
2005-07-09,27.2,20.5,23.0,0.9,27.4,23.4,73.94,970.0,4.8758,2005,7,9,190,Southwest Monsoon
2005-07-10,27.6,20.3,23.5,1.3,19.8,24.3,75.46,970.0,5.3738,2005,7,10,191,Southwest Monsoon
2005-07-11,28.3,20.4,23.2,1.6,20.7,24.2,76.95,970.0,5.4151,2005,7,11,192,Southwest Monsoon
2005-07-12,26.9,20.8,23.1,2.3,19.2,24.1,80.94,970.0,5.915,2005,7,12,193,Southwest Monsoon
2005-07-13,27.3,19.8,22.9,7.1,17.3,24.4,83.98,970.0,5.1754,2005,7,13,194,Southwest Monsoon
2005-07-14,27.6,20.3,22.8,10.7,13.6,25.5,85.98,970.0,4.7918,2005,7,14,195,Southwest Monsoon
2005-07-15,27.4,20.0,22.9,17.2,6.8,26.2,84.78,970.0,6.113,2005,7,15,196,Southwest Monsoon
2005-07-16,26.9,20.2,22.5,22.1,8.9,25.4,86.42,970.0,5.4168,2005,7,16,197,Southwest Monsoon
2005-07-17,26.5,19.5,22.3,7.4,11.8,25.0,86.93,970.0,5.5723,2005,7,17,198,Southwest Monsoon
2005-07-18,27.1,19.6,23.0,1.9,12.7,25.2,82.92,970.0,5.3174,2005,7,18,199,Southwest Monsoon
2005-07-19,27.1,20.4,22.9,6.6,13.1,25.2,85.25,970.0,5.6748,2005,7,19,200,Southwest Monsoon
2005-07-20,26.3,20.6,22.7,3.9,14.2,24.6,85.11,970.0,5.4686,2005,7,20,201,Southwest Monsoon
2005-07-21,26.2,20.0,22.2,7.3,22.1,23.3,81.75,970.0,5.4924,2005,7,21,202,Southwest Monsoon
2005-07-22,25.9,19.7,21.6,11.7,21.0,22.6,83.43,970.0,3.7726,2005,7,22,203,Southwest Monsoon
2005-07-23,26.1,20.0,21.8,2.7,21.6,23.0,85.12,970.0,3.648,2005,7,23,204,Southwest Monsoon
2005-07-24,23.8,19.7,20.7,5.1,24.1,21.2,87.01,970.0,3.6662,2005,7,24,205,Southwest Monsoon
2005-07-25,24.0,19.5,21.1,5.2,30.7,20.6,81.32,970.0,3.4171,2005,7,25,206,Southwest Monsoon
2005-07-26,23.9,19.5,21.3,8.4,31.5,20.8,83.6,970.0,3.4303,2005,7,26,207,Southwest Monsoon
2005-07-27,24.9,20.1,21.8,3.3,26.0,21.6,81.66,970.0,3.5486,2005,7,27,208,Southwest Monsoon
2005-07-28,26.0,19.4,22.2,1.4,28.5,22.0,80.68,970.0,4.7611,2005,7,28,209,Southwest Monsoon
2005-07-29,25.9,19.5,21.5,11.7,27.8,21.5,81.54,970.0,3.8772,2005,7,29,210,Southwest Monsoon
2005-07-30,25.7,18.9,21.9,6.5,31.8,21.4,82.56,970.0,4.1702,2005,7,30,211,Southwest Monsoon
2005-07-31,25.7,20.3,22.3,1.5,31.4,21.7,82.38,970.0,4.2319,2005,7,31,212,Southwest Monsoon
2005-08-01,24.4,20.1,21.9,2.2,30.7,21.2,82.02,970.0,4.123,2005,8,1,213,Southwest Monsoon
2005-08-02,25.6,20.5,22.4,0.2,33.5,21.6,81.71,970.0,3.54,2005,8,2,214,Southwest Monsoon
2005-08-03,25.0,19.9,22.0,1.6,28.3,21.4,83.27,970.0,4.1796,2005,8,3,215,Southwest Monsoon
2005-08-04,24.6,19.2,21.4,1.5,26.7,21.3,82.27,970.0,4.3894,2005,8,4,216,Southwest Monsoon
2005-08-05,25.2,20.0,22.2,0.0,27.2,22.0,84.27,970.0,4.0675,2005,8,5,217,Southwest Monsoon
2005-08-06,25.9,19.1,22.2,0.0,26.9,21.6,81.26,970.0,5.0304,2005,8,6,218,Southwest Monsoon
2005-08-07,25.7,18.3,21.9,0.1,26.3,21.6,80.53,970.0,5.0894,2005,8,7,219,Southwest Monsoon
2005-08-08,25.5,18.5,21.9,0.3,25.1,21.9,82.73,970.0,4.812,2005,8,8,220,Southwest Monsoon
2005-08-09,24.7,18.9,21.1,5.5,22.2,21.7,81.56,970.0,4.2744,2005,8,9,221,Southwest Monsoon
2005-08-10,26.4,19.7,21.8,6.0,21.8,22.6,84.71,970.0,4.193,2005,8,10,222,Southwest Monsoon
2005-08-11,25.6,19.7,22.2,1.5,26.2,22.3,82.05,970.0,5.2865,2005,8,11,223,Southwest Monsoon
2005-08-12,25.6,19.7,22.4,0.9,27.3,22.3,80.53,970.0,4.5629,2005,8,12,224,Southwest Monsoon
2005-08-13,26.5,19.1,22.3,0.6,25.4,22.5,81.59,970.0,5.1634,2005,8,13,225,Southwest Monsoon
2005-08-14,27.0,20.0,22.5,2.1,24.1,23.2,84.17,970.0,4.2173,2005,8,14,226,Southwest Monsoon
2005-08-15,26.5,19.9,22.1,5.7,23.8,22.7,86.15,970.0,3.9847,2005,8,15,227,Southwest Monsoon
2005-08-16,23.4,19.6,21.2,4.5,24.6,21.4,84.89,970.0,3.1025,2005,8,16,228,Southwest Monsoon
2005-08-17,24.9,19.7,21.5,1.7,23.5,21.9,80.45,970.0,5.0443,2005,8,17,229,Southwest Monsoon
2005-08-18,26.8,19.3,22.7,0.0,24.1,22.8,80.55,970.0,5.1502,2005,8,18,230,Southwest Monsoon
2005-08-19,25.9,18.6,22.0,0.6,21.3,22.5,84.2,970.0,5.381,2005,8,19,231,Southwest Monsoon
2005-08-20,26.7,18.1,22.1,0.0,22.8,22.4,78.32,970.0,6.8446,2005,8,20,232,Southwest Monsoon
2005-08-21,26.4,17.6,22.1,0.0,15.0,23.1,80.19,970.0,6.4913,2005,8,21,233,Southwest Monsoon
2005-08-22,27.0,18.4,22.8,0.3,13.9,24.4,80.86,970.0,6.2129,2005,8,22,234,Southwest Monsoon
2005-08-23,27.4,19.3,22.7,2.4,7.5,25.4,90.52,970.0,3.9845,2005,8,23,235,Southwest Monsoon
