date,temp_nasa,rh_nasa,wind_nasa,solar_nasa
2020-06-23,24.07,66.03,5.18,6.1884
2020-06-24,24.52,71.79,3.92,6.3497
2020-06-25,23.82,81.57,1.95,5.7286
2020-06-26,24.3,80.08,2.77,5.3011
2020-06-27,23.79,84.36,3.41,5.5315
2020-06-28,23.98,85.66,4.0,4.8202
2020-06-29,23.74,86.5,3.33,4.6474
2020-06-30,23.74,83.26,4.05,5.6047
2020-07-01,23.0,81.09,5.02,5.0206
2020-07-02,22.14,82.79,6.41,3.8534
2020-07-03,22.49,84.76,5.96,4.9865
2020-07-04,23.18,79.35,7.29,4.513
2020-07-05,22.36,79.64,6.55,4.0426
2020-07-06,23.37,79.56,5.95,4.3253
2020-07-07,23.2,80.51,6.03,5.3359
2020-07-08,22.58,87.31,3.42,4.7712
2020-07-09,22.4,87.5,3.11,5.7799
2020-07-10,22.89,82.82,3.51,4.4544
2020-07-11,22.67,83.92,3.18,5.8025
2020-07-12,23.64,83.22,3.68,6.1562
2020-07-13,22.78,84.59,3.72,5.2937
2020-07-14,22.95,85.22,4.37,4.0553
2020-07-15,22.87,83.14,5.51,3.5616
2020-07-16,22.76,83.55,5.37,3.5496
2020-07-17,22.76,83.34,4.56,3.5664
2020-07-18,23.48,82.59,2.93,4.6315
2020-07-19,23.63,81.2,2.57,5.1804
2020-07-20,23.17,87.36,2.95,5.4648
2020-07-21,23.83,81.11,2.53,6.78
2020-07-22,23.77,82.51,3.02,5.839
2020-07-23,23.25,85.64,1.25,5.4989
2020-07-24,23.35,83.97,2.76,3.9386
2020-07-25,22.66,83.72,2.34,5.4946
2020-07-26,22.35,83.94,4.02,5.2961
2020-07-27,23.24,80.8,4.48,5.9297
2020-07-28,23.29,84.96,3.7,5.8102
2020-07-29,22.27,88.98,3.49,3.366
2020-07-30,22.73,90.38,3.06,5.2687
2020-07-31,23.08,85.49,3.17,5.2519
2020-08-01,22.58,87.63,4.25,4.5209
2020-08-02,22.03,89.32,5.54,4.9162
2020-08-03,22.73,85.0,6.84,3.6432
2020-08-04,22.3,83.42,8.47,3.0629
2020-08-05,22.59,83.12,9.82,3.7222
2020-08-06,23.96,81.94,7.89,4.3046
2020-08-07,23.56,83.79,7.01,4.0361
2020-08-08,22.51,84.63,6.41,4.1198
2020-08-09,21.87,86.26,5.87,3.4442
2020-08-10,22.33,86.08,4.59,4.3457
2020-08-11,22.97,83.58,5.36,4.1762
2020-08-12,22.65,84.96,5.47,4.0426
2020-08-13,22.65,84.07,5.3,4.9558
2020-08-14,22.6,83.16,5.82,3.8268
2020-08-15,22.95,81.8,6.05,3.791
2020-08-16,23.08,83.38,5.38,2.4701
2020-08-17,23.19,83.77,5.02,3.7464
2020-08-18,23.43,83.48,5.03,4.2571
2020-08-19,23.23,83.9,4.97,3.9821
2020-08-20,23.11,83.62,5.06,3.8623
2020-08-21,23.48,83.13,4.56,4.6135
2020-08-22,23.57,84.3,3.93,5.4228
2020-08-23,23.27,85.14,3.12,4.717
2020-08-24,23.91,81.95,2.52,5.3743
2020-08-25,24.36,78.41,2.43,6.7898
2020-08-26,23.34,83.14,2.5,5.3866
2020-08-27,23.27,81.86,3.03,5.6844
2020-08-28,23.72,77.83,3.36,6.9991
2020-08-29,24.32,78.54,3.35,6.9439
2020-08-30,23.94,82.97,2.61,6.2784
2020-08-31,23.69,84.14,2.83,5.6227
2020-09-01,22.44,89.98,4.31,5.1396
2020-09-02,22.4,91.18,4.29,3.3914
2020-09-03,22.88,87.99,2.88,4.4666
2020-09-04,23.86,84.27,2.41,5.3242
2020-09-05,24.15,83.49,2.56,4.4822
2020-09-06,23.79,86.35,2.21,4.9126
2020-09-07,23.32,87.11,3.41,5.2342
2020-09-08,23.73,82.57,2.0,5.603
2020-09-09,23.29,86.64,2.93,4.9075
2020-09-10,22.0,89.57,2.47,4.6118
2020-09-11,21.92,88.22,5.49,4.0985
2020-09-12,21.25,88.17,5.26,3.4114
2020-09-13,20.61,86.31,5.58,2.9513
2020-09-14,21.65,82.84,6.25,3.7538
2020-09-15,22.46,84.51,5.16,4.1633
2020-09-16,22.9,85.4,4.86,4.4275
2020-09-17,22.86,84.72,4.7,5.0448
2020-09-18,22.39,86.2,5.75,4.6742
2020-09-19,22.23,87.62,5.75,3.6154
2020-09-20,20.89,87.42,7.74,2.6986
2020-09-21,20.96,84.69,8.04,4.0522
2020-09-22,20.78,81.51,7.0,3.7769
2020-09-23,21.84,81.49,5.43,5.3971
2020-09-24,22.16,82.21,4.38,5.3213
2020-09-25,21.62,87.8,2.56,5.4247
2020-09-26,20.56,90.92,4.37,3.4838
2020-09-27,21.91,86.51,3.09,4.8427
2020-09-28,23.13,84.05,2.83,5.5474
2020-09-29,22.87,88.84,3.5,4.783
2020-09-30,21.98,89.06,3.82,4.5739
2020-10-01,21.7,83.0,4.37,5.8486
2020-10-02,22.67,83.55,2.66,5.3808
2020-10-03,22.32,87.43,4.28,5.3964
2020-10-04,21.21,88.17,4.15,4.3543
2020-10-05,22.19,83.11,3.94,5.5855
2020-10-06,22.85,83.22,2.94,6.1733
2020-10-07,23.07,85.24,3.02,5.6129
2020-10-08,22.61,83.94,2.06,5.574
2020-10-09,23.04,82.39,1.18,4.6536
2020-10-10,22.27,92.1,2.94,5.2008
2020-10-11,21.59,89.92,4.07,3.2066
2020-10-12,21.72,89.01,5.17,2.9688
2020-10-13,21.1,92.11,5.38,2.669
2020-10-14,21.4,86.4,6.56,3.895
2020-10-15,21.76,87.14,4.92,4.9582
2020-10-16,22.2,85.7,3.06,5.939
2020-10-17,21.89,80.82,1.89,5.0064
2020-10-18,22.34,86.43,1.85,4.0944
2020-10-19,22.12,90.27,2.22,4.0258
2020-10-20,22.16,89.89,2.28,2.7972
2020-10-21,22.28,89.87,2.4,3.6094
2020-10-22,22.08,89.96,2.17,4.3627
2020-10-23,22.14,90.8,2.02,3.8369
2020-10-24,22.48,88.97,1.91,3.9502
2020-10-25,22.88,82.45,1.27,4.6457
2020-10-26,22.66,83.5,1.9,5.7588
2020-10-27,21.55,84.09,2.75,5.5627
2020-10-28,21.29,84.62,3.0,5.7504
2020-10-29,20.89,86.68,3.03,4.8434
2020-10-30,21.39,82.93,2.68,5.569
2020-10-31,21.95,78.4,2.1,5.4931
2020-11-01,22.27,79.5,1.73,5.4089
2020-11-02,22.58,83.66,1.95,4.7222
2020-11-03,22.59,84.78,2.62,4.7863
2020-11-04,22.92,86.05,2.6,4.3217
2020-11-05,22.52,85.14,3.05,4.6877
2020-11-06,22.45,84.81,2.82,5.4072
2020-11-07,22.78,86.83,3.09,5.6978
2020-11-08,22.39,87.45,3.88,4.2113
2020-11-09,21.04,84.98,3.25,5.4926
2020-11-10,18.78,80.12,3.3,6.2038
2020-11-11,19.53,87.42,3.78,5.352
2020-11-12,21.62,90.33,3.82,4.2662
2020-11-13,21.97,88.69,4.11,2.6472
2020-11-14,21.82,87.42,4.36,4.7666
2020-11-15,22.17,89.26,4.43,2.9342
2020-11-16,21.84,90.03,4.27,2.7199
2020-11-17,21.55,88.11,4.34,3.5964
2020-11-18,21.71,87.6,3.52,4.1693
2020-11-19,21.53,86.34,3.8,4.8626
2020-11-20,20.59,83.11,3.44,5.8433
2020-11-21,19.0,77.15,2.77,6.2138
2020-11-22,18.12,75.36,2.83,5.6837
2020-11-23,18.26,81.3,2.95,4.757
2020-11-24,20.32,87.02,3.47,4.0668
2020-11-25,21.03,88.48,5.05,3.1382
2020-11-26,19.14,94.28,8.63,0.9077
2020-11-27,19.59,89.7,5.48,4.0039
2020-11-28,20.54,87.51,3.32,3.5779
2020-11-29,20.98,87.76,3.72,2.7113
2020-11-30,20.7,86.76,4.18,4.1129
2020-12-01,19.59,82.3,3.72,5.3174
2020-12-02,19.78,83.6,4.27,4.3392
2020-12-03,19.92,91.82,5.14,2.0633
2020-12-04,20.71,91.11,5.02,1.962
2020-12-05,21.06,87.34,4.4,2.5867
2020-12-06,21.54,88.1,4.92,2.6088
2020-12-07,21.78,88.47,4.85,2.897
2020-12-08,21.34,88.22,4.54,3.1066
2020-12-09,21.25,87.39,3.88,3.8134
2020-12-10,19.48,79.21,2.72,5.6719
2020-12-11,18.85,78.66,2.6,5.7552
2020-12-12,18.4,79.62,2.64,5.4924
2020-12-13,18.5,79.33,2.36,5.1953
2020-12-14,18.94,81.44,2.81,5.3928
2020-12-15,18.89,81.72,3.55,5.3371
2020-12-16,20.52,85.5,3.85,3.3924
2020-12-17,20.94,86.22,4.15,2.5212
2020-12-18,19.42,86.32,3.77,5.478
2020-12-19,19.85,85.2,4.23,4.4191
2020-12-20,19.09,82.98,4.29,4.0308
2020-12-21,17.2,81.97,3.65,5.7746
2020-12-22,18.04,79.68,2.99,5.2901
2020-12-23,19.19,79.83,2.72,4.3637
2020-12-24,20.14,81.48,2.62,4.7278
2020-12-25,20.11,82.8,3.1,5.0695
2020-12-26,18.68,80.49,3.25,5.6431
2020-12-27,18.28,79.97,2.97,5.815
2020-12-28,18.67,74.68,2.19,5.0088
2020-12-29,19.89,78.82,3.33,5.0254
2020-12-30,21.09,84.03,4.04,4.7885
2020-12-31,21.08,84.78,4.93,2.5745
2021-01-01,18.87,81.29,4.29,4.9915
2021-01-02,19.86,84.14,3.93,4.0044
2021-01-03,20.95,82.54,4.2,3.0974
2021-01-04,21.01,80.6,4.69,2.0726
2021-01-05,20.98,86.53,3.74,3.9046
2021-01-06,21.7,86.4,3.33,2.7034
2021-01-07,21.16,87.96,3.29,2.8642
2021-01-08,22.02,85.13,3.4,3.1774
2021-01-09,22.21,83.32,3.86,2.2937
2021-01-10,21.39,82.98,3.79,3.8933
2021-01-11,20.86,82.66,3.65,2.826
2021-01-12,20.05,82.01,4.62,2.5402
2021-01-13,20.66,77.67,4.7,4.6414
2021-01-14,20.41,79.63,4.08,3.5726
2021-01-15,21.23,76.72,3.85,4.506
2021-01-16,21.45,72.58,3.49,4.7546
2021-01-17,21.12,74.65,3.43,5.1989
2021-01-18,20.16,73.55,3.83,6.0936
2021-01-19,20.17,74.28,3.33,5.8133
2021-01-20,20.87,71.24,2.13,5.6604
2021-01-21,22.27,71.25,1.53,5.7002
2021-01-22,22.55,72.91,2.76,4.9126
2021-01-23,21.83,71.33,2.76,5.3772
2021-01-24,21.05,69.06,2.67,5.8553
2021-01-25,19.72,66.74,3.22,6.2026
2021-01-26,19.64,61.53,3.26,6.425
2021-01-27,19.19,65.51,3.51,6.2021
2021-01-28,20.04,68.92,4.09,6.0614
2021-01-29,21.06,69.02,3.65,5.6035
2021-01-30,21.74,67.06,2.89,5.4228
2021-01-31,21.63,62.62,4.02,6.0684
2021-02-01,20.36,60.89,4.33,6.3682
2021-02-02,20.87,66.47,4.33,6.2227
2021-02-03,21.49,68.2,3.99,5.4521
2021-02-04,21.07,63.85,3.38,6.1925
2021-02-05,20.61,63.04,2.98,6.2719
2021-02-06,20.6,60.9,3.72,6.4274
2021-02-07,20.16,50.85,4.47,6.7142
2021-02-08,19.81,58.62,4.36,6.7346
2021-02-09,19.69,61.61,4.26,6.5561
2021-02-10,19.5,55.57,3.38,6.888
2021-02-11,20.07,58.48,3.47,6.7908
2021-02-12,20.3,57.87,3.49,6.9007
2021-02-13,20.54,57.24,3.2,6.8033
2021-02-14,20.8,55.54,2.39,6.7879
2021-02-15,21.85,55.69,2.19,6.5141
2021-02-16,22.52,57.46,2.8,5.8013
2021-02-17,22.71,56.9,3.75,5.363
2021-02-18,22.23,60.86,4.71,4.9469
2021-02-19,22.06,62.7,3.84,4.6246
2021-02-20,21.47,73.36,4.39,4.3603
2021-02-21,20.95,74.29,5.11,3.9626
2021-02-22,22.36,63.27,3.13,5.8202
2021-02-23,23.46,61.13,3.39,6.7205
2021-02-24,23.55,57.56,2.76,6.8302
2021-02-25,23.98,54.32,2.8,6.869
2021-02-26,23.89,50.27,2.75,6.8443
2021-02-27,24.5,49.84,3.07,6.6626
2021-02-28,24.14,48.03,4.15,6.8414
2021-03-01,23.39,50.3,3.36,7.104
2021-03-02,23.94,51.82,4.13,6.6662
2021-03-03,23.73,45.48,4.63,7.0452
2021-03-04,22.64,48.88,4.85,7.4069
2021-03-05,23.17,47.2,3.23,7.4606
2021-03-06,24.47,46.94,3.05,7.3567
2021-03-07,24.6,49.87,3.32,7.2336
2021-03-08,24.44,49.27,4.09,7.4503
2021-03-09,24.54,48.44,4.52,7.4508
2021-03-10,25.74,53.42,3.01,7.206
2021-03-11,26.65,51.34,3.94,6.965
2021-03-12,25.5,45.2,3.97,7.1318
2021-03-13,24.75,45.44,3.8,7.5545
2021-03-14,25.4,47.05,4.02,7.5072
2021-03-15,25.79,43.48,3.02,7.0687
2021-03-16,26.34,41.85,3.5,7.2629
2021-03-17,26.25,38.61,4.05,6.7318
2021-03-18,25.43,46.56,4.29,6.4022
2021-03-19,25.29,41.81,4.34,7.2113
2021-03-20,25.85,36.75,4.33,6.7099
2021-03-21,26.3,37.38,3.97,7.1621
2021-03-22,27.02,38.25,4.0,7.2072
2021-03-23,27.4,42.89,4.05,7.2185
2021-03-24,27.75,43.64,4.22,6.9242
2021-03-25,27.68,40.0,3.8,6.0886
2021-03-26,28.31,39.19,4.51,6.9454
2021-03-27,26.96,47.38,4.2,6.534
2021-03-28,26.84,46.37,3.31,5.0798
2021-03-29,28.28,41.15,3.72,5.4106
2021-03-30,29.12,37.04,3.98,6.2359
2021-03-31,30.7,29.83,3.52,6.6084
2021-04-01,29.02,30.24,4.39,7.3726
2021-04-02,28.95,30.31,3.7,7.6781
2021-04-03,30.67,31.43,2.49,6.961
2021-04-04,30.1,32.16,3.58,6.3509
2021-04-05,30.06,38.93,3.9,6.3437
2021-04-06,28.84,44.42,4.51,6.415
2021-04-07,29.07,38.33,3.91,7.0306
2021-04-08,28.62,31.95,4.44,6.0689
2021-04-09,28.41,37.74,4.41,6.5467
2021-04-10,28.21,44.51,5.15,6.7781
2021-04-11,28.45,47.89,4.22,6.2314
2021-04-12,28.5,50.64,4.2,5.7744
2021-04-13,27.98,51.56,3.71,5.7048
2021-04-14,26.99,57.58,2.18,4.9174
2021-04-15,24.89,73.13,2.01,5.6194
2021-04-16,26.11,63.5,3.05,6.3461
2021-04-17,26.98,59.81,2.58,6.155
2021-04-18,27.32,56.76,2.93,6.3823
2021-04-19,27.3,60.5,2.01,6.2316
2021-04-20,26.79,61.44,2.04,5.291
2021-04-21,26.57,66.22,1.77,6.0094
2021-04-22,27.07,61.35,1.46,6.0653
2021-04-23,25.97,66.39,1.53,5.5466
2021-04-24,26.57,65.13,1.55,5.837
2021-04-25,27.16,59.96,3.35,5.9386
2021-04-26,25.62,65.95,2.84,6.4481
2021-04-27,26.66,61.03,2.54,6.0593
2021-04-28,27.07,58.54,2.76,6.5498
2021-04-29,27.76,55.64,2.69,6.3072
2021-04-30,26.77,61.4,2.85,5.7686
2021-05-01,26.69,64.91,3.49,6.3624
2021-05-02,26.86,62.4,2.57,5.8303
2021-05-03,27.28,60.82,2.94,5.5788
2021-05-04,27.55,61.03,3.02,5.2742
2021-05-05,28.23,58.02,3.11,6.5052
2021-05-06,28.07,57.91,3.84,6.126
2021-05-07,27.79,59.65,4.02,5.735
2021-05-08,27.96,57.84,3.78,5.7732
2021-05-09,28.64,56.78,2.94,6.768
2021-05-10,28.4,59.52,2.63,5.0777
2021-05-11,27.27,66.44,2.06,5.9186
2021-05-12,27.02,70.17,1.81,4.9356
2021-05-13,26.0,75.75,1.82,5.8541
2021-05-14,27.2,65.0,4.82,6.4253
2021-05-15,24.81,75.47,6.3,3.0389
2021-05-16,25.6,74.03,5.9,4.0442
2021-05-17,26.98,67.47,3.59,6.4078
2021-05-18,26.55,68.18,3.6,6.9132
2021-05-19,25.33,80.84,3.75,6.6475
2021-05-20,24.37,79.53,3.51,4.981
2021-05-21,23.76,80.22,3.76,5.1454
2021-05-22,24.23,78.4,4.19,5.8598
2021-05-23,24.76,76.87,4.63,6.2494
2021-05-24,23.97,75.43,4.6,6.6427
2021-05-25,23.04,85.96,4.62,5.419
2021-05-26,24.1,76.2,6.66,5.8411
2021-05-27,24.33,74.16,5.22,6.7754
2021-05-28,25.25,70.03,5.35,7.2319
2021-05-29,25.36,70.37,4.41,7.2041
2021-05-30,25.2,72.95,4.55,7.1364
2021-05-31,25.59,73.43,4.4,7.2026
2021-06-01,25.85,74.98,3.31,6.6458
2021-06-02,25.23,77.55,2.56,6.5155
2021-06-03,24.72,79.01,0.92,5.365
2021-06-04,23.61,86.32,3.32,4.6975
2021-06-05,22.23,84.36,2.76,4.7431
2021-06-06,24.09,72.91,2.9,5.9938
2021-06-07,23.23,78.89,3.72,7.1978
2021-06-08,24.83,72.28,4.42,7.0994
2021-06-09,24.15,77.55,5.27,6.1188
2021-06-10,24.29,74.73,5.7,5.723
2021-06-11,23.32,77.79,5.77,5.3808
2021-06-12,22.52,75.53,7.5,4.8626
2021-06-13,22.95,72.7,7.52,4.6423
2021-06-14,22.68,77.64,8.66,3.9641
2021-06-15,22.59,79.81,7.15,4.284
2021-06-16,23.88,75.01,7.31,4.4213
2021-06-17,23.84,78.15,6.92,5.3688
2021-06-18,23.1,78.68,6.7,4.6267
2021-06-19,23.52,79.59,6.26,5.2733
2021-06-20,23.76,76.14,5.14,5.8351
2021-06-21,24.33,74.53,4.7,5.929
2021-06-22,24.13,75.69,4.02,5.2855
2021-06-23,24.49,75.38,4.01,5.6885
2021-06-24,24.26,74.27,4.93,5.8682
2021-06-25,23.58,74.05,5.17,6.6238
2021-06-26,23.69,74.48,5.49,4.2926
2021-06-27,21.82,74.63,5.12,3.8467
2021-06-28,24.15,68.14,2.68,5.3671
2021-06-29,25.75,70.26,2.68,6.3917
2021-06-30,25.61,76.84,2.73,6.5964
2021-07-01,23.77,87.65,2.87,3.3391
2021-07-02,23.53,84.52,3.67,5.6177
2021-07-03,23.68,80.84,2.79,5.1084
2021-07-04,23.3,83.4,2.72,5.5973
2021-07-05,24.04,79.99,2.37,6.3557
2021-07-06,23.77,84.16,2.51,5.7619
2021-07-07,23.06,86.64,3.03,4.9903
2021-07-08,23.18,85.38,3.61,6.0353
2021-07-09,23.25,84.45,4.7,5.1504
2021-07-10,21.77,82.02,5.73,4.3805
2021-07-11,21.44,82.45,6.2,4.1513
2021-07-12,21.76,81.82,6.56,4.488
2021-07-13,23.28,81.39,6.81,3.5772
2021-07-14,22.86,84.45,6.85,2.9892
2021-07-15,22.54,83.56,6.38,2.6532
2021-07-16,23.49,82.08,5.01,4.842
2021-07-17,22.87,86.8,4.73,4.661
2021-07-18,22.52,88.74,6.31,3.1682
2021-07-19,23.4,81.26,6.33,4.3361
2021-07-20,23.27,80.76,7.42,5.279
2021-07-21,23.1,80.93,7.14,2.9873
2021-07-22,22.42,83.54,8.87,2.6215
2021-07-23,23.44,79.71,7.6,2.5178
2021-07-24,23.8,80.99,6.21,4.7614
2021-07-25,22.95,84.99,6.22,5.0815
2021-07-26,22.92,83.06,5.94,4.9579
2021-07-27,23.17,80.97,5.95,5.371
2021-07-28,23.61,78.15,6.41,5.6258
2021-07-29,23.23,79.96,6.2,5.3669
2021-07-30,22.82,82.26,5.86,5.3597
2021-07-31,23.24,80.53,5.86,4.8667
2021-08-01,23.3,79.24,5.97,4.6745
2021-08-02,23.14,76.92,6.27,5.1634
2021-08-03,23.27,79.09,5.7,4.4971
2021-08-04,23.44,79.82,6.26,3.9372
2021-08-05,23.58,79.41,6.28,4.1294
